xflr5 v6.62

Plane name :, AR7.50_TR0.30_TW1.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.000,     0.000,  -0.372173,   0.005900,   0.007080,   0.012980,   0.000000,   0.000000,   0.044042,   0.000000,  -0.000000,   25.0000,    0.1713
   -5.500,     0.000,  -0.327369,   0.004643,   0.006893,   0.011536,   0.000000,   0.000000,   0.032140,   0.000000,  -0.000000,   25.0000,    0.1356
   -5.000,     0.000,  -0.283911,   0.003499,   0.006704,   0.010203,   0.000000,   0.000000,   0.020634,   0.000000,  -0.000000,   25.0000,    0.0902
   -4.500,     0.000,  -0.240215,   0.002515,   0.006547,   0.009061,   0.000000,   0.000000,   0.009035,   0.000000,  -0.000000,   25.0000,    0.0277
   -4.000,     0.000,  -0.196515,   0.001694,   0.006399,   0.008093,   0.000000,   0.000000,  -0.002583,   0.000000,   0.000000,   25.0000,   -0.0631
   -3.500,     0.000,  -0.152864,   0.001038,   0.006256,   0.007293,   0.000000,  -0.000000,  -0.014182,   0.000000,  -0.000000,   25.0000,   -0.2058
   -3.000,     0.000,  -0.109124,   0.000545,   0.006131,   0.006676,   0.000000,   0.000000,  -0.025832,   0.000000,  -0.000000,   25.0000,   -0.4654
   -2.500,     0.000,  -0.065384,   0.000217,   0.006019,   0.006237,   0.000000,   0.000000,  -0.037488,  -0.000000,  -0.000000,   25.0000,   -1.0751
   -2.000,     0.000,  -0.021629,   0.000054,   0.005918,   0.005972,   0.000000,  -0.000000,  -0.049159,   0.000000,   0.000000,   25.0000,   -3.6454
   -1.500,     0.000,   0.022121,   0.000055,   0.005822,   0.005877,   0.000000,   0.000000,  -0.060833,   0.000000,   0.000000,   25.0000,    0.6502
   -1.000,     0.000,   0.065920,   0.000221,   0.005746,   0.005968,   0.000000,   0.000000,  -0.072532,   0.000000,   0.000000,   25.0000,    1.9428
   -0.500,     0.000,   0.109668,   0.000552,   0.005664,   0.006216,   0.000000,   0.000000,  -0.084222,   0.000000,  -0.000000,   25.0000,    1.3391
    0.000,     0.000,   0.153472,   0.001049,   0.005594,   0.006643,   0.000000,  -0.000000,  -0.095955,   0.000000,  -0.000000,   25.0000,    1.0824
    0.500,     0.000,   0.197218,   0.001710,   0.005520,   0.007230,   0.000000,  -0.000000,  -0.107675,   0.000000,  -0.000000,   25.0000,    0.9401
    1.000,     0.000,   0.240806,   0.002533,   0.005431,   0.007963,   0.000000,   0.000000,  -0.119336,   0.000000,  -0.000000,   25.0000,    0.8496
    1.500,     0.000,   0.284218,   0.003515,   0.005329,   0.008844,   0.000000,  -0.000000,  -0.130920,   0.000000,  -0.000000,   25.0000,    0.7867
    2.000,     0.000,   0.327630,   0.004659,   0.005235,   0.009894,   0.000000,  -0.000000,  -0.142491,   0.000000,  -0.000000,   25.0000,    0.7404
    2.500,     0.000,   0.371086,   0.005967,   0.005160,   0.011126,   0.000000,  -0.000000,  -0.154066,   0.000000,  -0.000000,   25.0000,    0.7049
    3.000,     0.000,   0.414336,   0.007431,   0.005108,   0.012539,   0.000000,   0.000000,  -0.165533,  -0.000000,  -0.000000,   25.0000,    0.6765
