xflr5 v6.62

Plane name :, AR6.00_TR1.00_TW2.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.000,     0.000,  -0.382372,   0.008674,   0.006969,   0.015643,   0.000000,   0.000000,   0.042692,   0.000000,   0.000000,   25.0000,    0.1894
   -5.500,     0.000,  -0.341214,   0.007069,   0.006771,   0.013840,   0.000000,   0.000000,   0.032528,   0.000000,   0.000000,   25.0000,    0.1594
   -5.000,     0.000,  -0.300964,   0.005579,   0.006628,   0.012208,   0.000000,   0.000000,   0.022511,   0.000000,   0.000000,   25.0000,    0.1216
   -4.500,     0.000,  -0.260918,   0.004277,   0.006470,   0.010747,   0.000000,   0.000000,   0.012588,   0.000000,   0.000000,   25.0000,    0.0725
   -4.000,     0.000,  -0.220742,   0.003150,   0.006341,   0.009491,   0.000000,  -0.000000,   0.002608,   0.000000,   0.000000,   25.0000,    0.0049
   -3.500,     0.000,  -0.180492,   0.002200,   0.006222,   0.008422,   0.000000,   0.000000,  -0.007416,   0.000000,   0.000000,   25.0000,   -0.0934
   -3.000,     0.000,  -0.140282,   0.001432,   0.006099,   0.007531,   0.000000,   0.000000,  -0.017431,   0.000000,   0.000000,   25.0000,   -0.2482
   -2.500,     0.000,  -0.100011,   0.000842,   0.006000,   0.006842,   0.000000,   0.000000,  -0.027476,   0.000000,   0.000000,   25.0000,   -0.5300
   -2.000,     0.000,  -0.059750,   0.000432,   0.005909,   0.006341,   0.000000,   0.000000,  -0.037525,   0.000000,   0.000000,   25.0000,   -1.2050
   -1.500,     0.000,  -0.019490,   0.000203,   0.005822,   0.006025,   0.000000,   0.000000,  -0.047582,   0.000000,   0.000000,   25.0000,   -4.1829
   -1.000,     0.000,   0.020820,   0.000153,   0.005745,   0.005898,   0.000000,   0.000000,  -0.057668,   0.000000,   0.000000,   25.0000,    5.4341
   -0.500,     0.000,   0.061109,   0.000284,   0.005674,   0.005958,   0.000000,  -0.000000,  -0.067753,   0.000000,   0.000000,   25.0000,    1.9863
    0.000,     0.000,   0.101426,   0.000595,   0.005614,   0.006210,   0.000000,  -0.000000,  -0.077854,   0.000000,   0.000000,   25.0000,    1.4243
    0.500,     0.000,   0.141734,   0.001087,   0.005556,   0.006643,   0.000000,  -0.000000,  -0.087959,   0.000000,  -0.000000,   25.0000,    1.1413
    1.000,     0.000,   0.182003,   0.001759,   0.005497,   0.007256,   0.000000,  -0.000000,  -0.098054,   0.000000,  -0.000000,   25.0000,    0.9872
    1.500,     0.000,   0.222155,   0.002607,   0.005418,   0.008025,   0.000000,  -0.000000,  -0.108108,   0.000000,  -0.000000,   25.0000,    0.8898
    2.000,     0.000,   0.262256,   0.003634,   0.005335,   0.008969,   0.000000,  -0.000000,  -0.118141,   0.000000,   0.000000,   25.0000,    0.8221
    2.500,     0.000,   0.302357,   0.004839,   0.005257,   0.010096,   0.000000,  -0.000000,  -0.128165,   0.000000,   0.000000,   25.0000,    0.7725
    3.000,     0.000,   0.342412,   0.006222,   0.005185,   0.011407,   0.000000,  -0.000000,  -0.138160,   0.000000,   0.000000,   25.0000,    0.7343
    3.500,     0.000,   0.382392,   0.007780,   0.005139,   0.012919,   0.000000,  -0.000000,  -0.148102,   0.000000,  -0.000000,   25.0000,    0.7040
    4.000,     0.000,   0.422134,   0.009506,   0.005107,   0.014612,   0.000000,  -0.000000,  -0.157908,   0.000000,  -0.000000,   25.0000,    0.6791
    4.500,     0.000,   0.461444,   0.011391,   0.005097,   0.016488,   0.000000,  -0.000000,  -0.167481,   0.000000,   0.000000,   25.0000,    0.6581
    5.000,     0.000,   0.500263,   0.013417,   0.005142,   0.018560,   0.000000,  -0.000000,  -0.176754,   0.000000,  -0.000000,   25.0000,    0.6399
    5.500,     0.000,   0.538796,   0.015601,   0.005237,   0.020839,   0.000000,  -0.000000,  -0.185877,   0.000000,   0.000000,   25.0000,    0.6240
    6.000,     0.000,   0.578162,   0.017997,   0.005387,   0.023384,   0.000000,  -0.000000,  -0.195448,   0.000000,   0.000000,   25.0000,    0.6107
    6.500,     0.000,   0.618719,   0.020643,   0.005595,   0.026237,   0.000000,  -0.000000,  -0.205707,   0.000000,   0.000000,   25.0000,    0.5999
