xflr5 v6.62

Plane name :, AR6.00_TR0.30_TW2.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.500,     0.000,  -0.347185,   0.006451,   0.006845,   0.013296,   0.000000,   0.000000,   0.035800,   0.000000,   0.000000,   25.0000,    0.1666
   -5.000,     0.000,  -0.304499,   0.005058,   0.006678,   0.011735,   0.000000,   0.000000,   0.024475,  -0.000000,  -0.000000,   25.0000,    0.1221
   -4.500,     0.000,  -0.263124,   0.003805,   0.006523,   0.010328,   0.000000,   0.000000,   0.013501,   0.000000,  -0.000000,   25.0000,    0.0650
   -4.000,     0.000,  -0.221603,   0.002733,   0.006383,   0.009116,   0.000000,   0.000000,   0.002483,   0.000000,  -0.000000,   25.0000,   -0.0139
   -3.500,     0.000,  -0.180056,   0.001846,   0.006257,   0.008104,   0.000000,   0.000000,  -0.008564,   0.000000,  -0.000000,   25.0000,   -0.1301
   -3.000,     0.000,  -0.138536,   0.001145,   0.006137,   0.007282,   0.000000,   0.000000,  -0.019605,   0.000000,   0.000000,   25.0000,   -0.3162
   -2.500,     0.000,  -0.096919,   0.000628,   0.006028,   0.006657,   0.000000,   0.000000,  -0.030682,   0.000000,   0.000000,   25.0000,   -0.6636
   -2.000,     0.000,  -0.055399,   0.000296,   0.005929,   0.006225,   0.000000,   0.000000,  -0.041735,   0.000000,   0.000000,   25.0000,   -1.6007
   -1.500,     0.000,  -0.013783,   0.000149,   0.005841,   0.005990,   0.000000,   0.000000,  -0.052836,   0.000000,   0.000000,   25.0000,   -6.7737
   -1.000,     0.000,   0.027825,   0.000188,   0.005756,   0.005944,   0.000000,   0.000000,  -0.063941,   0.000000,   0.000000,   25.0000,    4.6723
   -0.500,     0.000,   0.069511,   0.000413,   0.005686,   0.006099,   0.000000,  -0.000000,  -0.075081,   0.000000,   0.000000,   25.0000,    2.2947
    0.000,     0.000,   0.111064,   0.000823,   0.005622,   0.006445,   0.000000,  -0.000000,  -0.086178,  -0.000000,   0.000000,   25.0000,    1.5000
    0.500,     0.000,   0.152680,   0.001419,   0.005565,   0.006984,   0.000000,  -0.000000,  -0.097300,   0.000000,  -0.000000,   25.0000,    1.2248
    1.000,     0.000,   0.194329,   0.002202,   0.005501,   0.007702,   0.000000,  -0.000000,  -0.108455,   0.000000,  -0.000000,   25.0000,    1.0680
    1.500,     0.000,   0.235862,   0.003168,   0.005428,   0.008597,   0.000000,  -0.000000,  -0.119572,   0.000000,   0.000000,   25.0000,    0.9665
    2.000,     0.000,   0.277224,   0.004314,   0.005342,   0.009657,   0.000000,  -0.000000,  -0.130616,  -0.000000,   0.000000,   25.0000,    0.8957
    2.500,     0.000,   0.318579,   0.005643,   0.005244,   0.010887,   0.000000,  -0.000000,  -0.141649,  -0.000000,  -0.000000,   25.0000,    0.8431
    3.000,     0.000,   0.359963,   0.007157,   0.005158,   0.012314,   0.000000,  -0.000000,  -0.152684,  -0.000000,  -0.000000,   25.0000,    0.8024
    3.500,     0.000,   0.401231,   0.008849,   0.005109,   0.013958,   0.000000,  -0.000000,  -0.163652,  -0.000000,  -0.000000,   25.0000,    0.7700
    4.000,     0.000,   0.442313,   0.010716,   0.005083,   0.015799,   0.000000,  -0.000000,  -0.174519,  -0.000000,  -0.000000,   25.0000,    0.7434
    4.500,     0.000,   0.483184,   0.012755,   0.005074,   0.017829,   0.000000,   0.000000,  -0.185267,   0.000000,  -0.000000,   25.0000,    0.7210
    5.000,     0.000,   0.523635,   0.014951,   0.005107,   0.020058,   0.000000,  -0.000000,  -0.195779,  -0.000000,  -0.000000,   25.0000,    0.7018
    5.500,     0.000,   0.563837,   0.017300,   0.005192,   0.022492,   0.000000,  -0.000000,  -0.206092,  -0.000000,  -0.000000,   25.0000,    0.6848
