xflr5 v6.62

Plane name :, AR6.00_TR0.82_TW3.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.500,     0.000,  -0.380942,   0.008760,   0.006962,   0.015722,   0.000000,   0.000000,   0.042816,   0.000000,   0.000000,   25.0000,    0.1894
   -5.000,     0.000,  -0.339212,   0.007155,   0.006777,   0.013931,   0.000000,   0.000000,   0.032287,   0.000000,   0.000000,   25.0000,    0.1581
   -4.500,     0.000,  -0.298620,   0.005678,   0.006623,   0.012301,   0.000000,   0.000000,   0.022028,   0.000000,   0.000000,   25.0000,    0.1189
   -4.000,     0.000,  -0.258097,   0.004383,   0.006473,   0.010855,   0.000000,   0.000000,   0.011798,   0.000000,   0.000000,   25.0000,    0.0674
   -3.500,     0.000,  -0.217432,   0.003263,   0.006346,   0.009609,   0.000000,   0.000000,   0.001497,   0.000000,   0.000000,   25.0000,   -0.0040
   -3.000,     0.000,  -0.176797,   0.002326,   0.006217,   0.008543,   0.000000,   0.000000,  -0.008800,   0.000000,   0.000000,   25.0000,   -0.1084
   -2.500,     0.000,  -0.136131,   0.001569,   0.006107,   0.007676,   0.000000,   0.000000,  -0.019114,   0.000000,   0.000000,   25.0000,   -0.2762
   -2.000,     0.000,  -0.095456,   0.000993,   0.006005,   0.006998,   0.000000,   0.000000,  -0.029441,   0.000000,   0.000000,   25.0000,   -0.5898
   -1.500,     0.000,  -0.054754,   0.000598,   0.005911,   0.006508,   0.000000,   0.000000,  -0.039787,   0.000000,   0.000000,   25.0000,   -1.4668
   -1.000,     0.000,  -0.014041,   0.000384,   0.005820,   0.006203,   0.000000,   0.000000,  -0.050148,   0.000000,   0.000000,   25.0000,   -7.2567
   -0.500,     0.000,   0.026689,   0.000351,   0.005746,   0.006097,   0.000000,   0.000000,  -0.060522,   0.000000,   0.000000,   25.0000,    4.0253
    0.000,     0.000,   0.067425,   0.000501,   0.005681,   0.006182,   0.000000,   0.000000,  -0.070904,   0.000000,   0.000000,   25.0000,    1.9528
    0.500,     0.000,   0.108152,   0.000832,   0.005613,   0.006445,   0.000000,  -0.000000,  -0.081292,   0.000000,   0.000000,   25.0000,    1.3811
    1.000,     0.000,   0.148900,   0.001344,   0.005556,   0.006901,   0.000000,  -0.000000,  -0.091693,   0.000000,   0.000000,   25.0000,    1.1226
    1.500,     0.000,   0.189595,   0.002038,   0.005491,   0.007528,   0.000000,   0.000000,  -0.102079,   0.000000,   0.000000,   25.0000,    0.9784
    2.000,     0.000,   0.230189,   0.002909,   0.005407,   0.008317,   0.000000,  -0.000000,  -0.112425,   0.000000,  -0.000000,   25.0000,    0.8858
    2.500,     0.000,   0.270716,   0.003960,   0.005325,   0.009285,   0.000000,  -0.000000,  -0.122743,   0.000000,   0.000000,   25.0000,    0.8209
    3.000,     0.000,   0.311211,   0.005190,   0.005251,   0.010440,   0.000000,  -0.000000,  -0.133039,   0.000000,   0.000000,   25.0000,    0.7729
    3.500,     0.000,   0.351714,   0.006599,   0.005182,   0.011781,   0.000000,  -0.000000,  -0.143327,   0.000000,   0.000000,   25.0000,    0.7357
    4.000,     0.000,   0.392082,   0.008183,   0.005135,   0.013318,   0.000000,  -0.000000,  -0.153532,   0.000000,   0.000000,   25.0000,    0.7061
    4.500,     0.000,   0.432236,   0.009935,   0.005108,   0.015043,   0.000000,  -0.000000,  -0.163603,   0.000000,   0.000000,   25.0000,    0.6817
    5.000,     0.000,   0.471981,   0.011843,   0.005108,   0.016951,   0.000000,  -0.000000,  -0.173432,   0.000000,   0.000000,   25.0000,    0.6610
    5.500,     0.000,   0.511115,   0.013892,   0.005159,   0.019052,   0.000000,  -0.000000,  -0.182902,   0.000000,   0.000000,   25.0000,    0.6430
    6.000,     0.000,   0.549961,   0.016096,   0.005259,   0.021354,   0.000000,  -0.000000,  -0.192207,   0.000000,   0.000000,   25.0000,    0.6272
    6.500,     0.000,   0.589625,   0.018517,   0.005414,   0.023931,   0.000000,  -0.000000,  -0.202003,   0.000000,   0.000000,   25.0000,    0.6140
    7.000,     0.000,   0.630395,   0.021192,   0.005638,   0.026830,   0.000000,  -0.000000,  -0.212503,   0.000000,   0.000000,   25.0000,    0.6034
    7.500,     0.000,   0.673213,   0.024174,   0.005915,   0.030089,   0.000000,  -0.000000,  -0.224170,   0.000000,   0.000000,   25.0000,    0.5953
    8.000,     0.000,   0.716921,   0.027440,   0.006235,   0.033675,   0.000000,  -0.000000,  -0.236414,   0.000000,  -0.000000,   25.0000,    0.5888
    8.500,     0.000,   0.758525,   0.030724,   0.006570,   0.037294,   0.000000,  -0.000000,  -0.247417,   0.000000,   0.000000,   25.0000,    0.5817
    9.000,     0.000,   0.797622,   0.033995,   0.006930,   0.040925,   0.000000,  -0.000000,  -0.257046,   0.000000,   0.000000,   25.0000,    0.5740
    9.500,     0.000,   0.836069,   0.037383,   0.007284,   0.044667,   0.000000,  -0.000000,  -0.266327,   0.000000,  -0.000000,   25.0000,    0.5666
   10.000,     0.000,   0.873887,   0.040892,   0.007654,   0.048546,   0.000000,  -0.000000,  -0.275326,  -0.000000,  -0.000000,   25.0000,    0.5595
   10.500,     0.000,   0.911727,   0.044549,   0.008021,   0.052569,   0.000000,  -0.000000,  -0.284340,   0.000000,   0.000000,   25.0000,    0.5529
   11.000,     0.000,   0.949531,   0.048371,   0.008392,   0.056763,   0.000000,  -0.000000,  -0.293377,  -0.000000,  -0.000000,   25.0000,    0.5469
   11.500,     0.000,   0.987566,   0.052371,   0.008752,   0.061123,   0.000000,  -0.000000,  -0.302538,  -0.000000,  -0.000000,   25.0000,    0.5413
   12.000,     0.000,   1.024972,   0.056462,   0.009140,   0.065602,   0.000000,  -0.000000,  -0.311402,   0.000000,   0.000000,   25.0000,    0.5358
   12.500,     0.000,   1.062530,   0.060723,   0.009520,   0.070243,   0.000000,  -0.000000,  -0.320363,   0.000000,   0.000000,   25.0000,    0.5308
   13.000,     0.000,   1.099937,   0.065116,   0.009916,   0.075032,   0.000000,  -0.000000,  -0.329253,   0.000000,   0.000000,   25.0000,    0.5259
   13.500,     0.000,   1.137085,   0.069655,   0.010329,   0.079984,   0.000000,  -0.000000,  -0.338067,  -0.000000,  -0.000000,   25.0000,    0.5213
   14.000,     0.000,   1.173932,   0.074278,   0.010739,   0.085017,   0.000000,  -0.000000,  -0.346703,   0.000000,   0.000000,   25.0000,    0.5167
   14.500,     0.000,   1.209995,   0.078967,   0.011204,   0.090171,   0.000000,  -0.000000,  -0.354999,   0.000000,   0.000000,   25.0000,    0.5122
   15.000,     0.000,   1.246017,   0.083811,   0.011648,   0.095458,   0.000000,  -0.000000,  -0.363311,   0.000000,   0.000000,   25.0000,    0.5078
   15.500,     0.000,   1.281657,   0.088727,   0.012110,   0.100837,   0.000000,  -0.000000,  -0.371444,   0.000000,   0.000000,   25.0000,    0.5036
   16.000,     0.000,   1.316461,   0.093690,   0.012623,   0.106313,   0.000000,  -0.000000,  -0.379224,   0.000000,   0.000000,   25.0000,    0.4993
   16.500,     0.000,   1.350441,   0.098688,   0.013166,   0.111853,   0.000000,  -0.000000,  -0.386636,   0.000000,   0.000000,   25.0000,    0.4950
   17.000,     0.000,   1.383007,   0.103622,   0.013765,   0.117387,   0.000000,  -0.000000,  -0.393390,  -0.000000,  -0.000000,   25.0000,    0.4904
   17.500,     0.000,   1.414213,   0.108497,   0.014363,   0.122860,   0.000000,  -0.000000,  -0.399505,  -0.000000,  -0.000000,   25.0000,    0.4857
   18.000,     0.000,   1.444075,   0.113270,   0.014990,   0.128259,   0.000000,  -0.000000,  -0.405012,   0.000000,  -0.000000,   25.0000,    0.4808
   18.500,     0.000,   1.472260,   0.117933,   0.015715,   0.133647,   0.000000,  -0.000000,  -0.409883,   0.000000,   0.000000,   25.0000,    0.4758
   19.000,     0.000,   1.498989,   0.122451,   0.016534,   0.138985,   0.000000,  -0.000000,  -0.414222,   0.000000,   0.000000,   25.0000,    0.4707


