xflr5 v6.62

Plane name :, AR7.50_TR1.00_TW1.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.000,     0.000,  -0.364098,   0.006189,   0.007038,   0.013226,   0.000000,   0.000000,   0.037835,   0.000000,   0.000000,   25.0000,    0.1566
   -5.500,     0.000,  -0.320763,   0.004912,   0.006847,   0.011759,   0.000000,   0.000000,   0.027137,   0.000000,   0.000000,   25.0000,    0.1248
   -5.000,     0.000,  -0.278586,   0.003741,   0.006674,   0.010415,   0.000000,   0.000000,   0.016706,   0.000000,  -0.000000,   25.0000,    0.0841
   -4.500,     0.000,  -0.236300,   0.002729,   0.006521,   0.009250,   0.000000,   0.000000,   0.006224,   0.000000,   0.000000,   25.0000,    0.0284
   -4.000,     0.000,  -0.194001,   0.001878,   0.006369,   0.008247,   0.000000,   0.000000,  -0.004274,   0.000000,   0.000000,   25.0000,   -0.0519
   -3.500,     0.000,  -0.151693,   0.001188,   0.006230,   0.007417,   0.000000,  -0.000000,  -0.014782,   0.000000,   0.000000,   25.0000,   -0.1775
   -3.000,     0.000,  -0.109321,   0.000658,   0.006112,   0.006770,   0.000000,   0.000000,  -0.025324,   0.000000,   0.000000,   25.0000,   -0.4017
   -2.500,     0.000,  -0.066959,   0.000291,   0.006005,   0.006296,   0.000000,   0.000000,  -0.035870,   0.000000,   0.000000,   25.0000,   -0.9132
   -2.000,     0.000,  -0.024604,   0.000085,   0.005907,   0.005992,   0.000000,   0.000000,  -0.046422,   0.000000,   0.000000,   25.0000,   -3.0790
   -1.500,     0.000,   0.017764,   0.000041,   0.005820,   0.005860,   0.000000,   0.000000,  -0.056988,   0.000000,   0.000000,   25.0000,    5.0452
   -1.000,     0.000,   0.060170,   0.000158,   0.005737,   0.005895,   0.000000,  -0.000000,  -0.067582,   0.000000,  -0.000000,   25.0000,    1.8815
   -0.500,     0.000,   0.102583,   0.000438,   0.005666,   0.006104,   0.000000,  -0.000000,  -0.078184,   0.000000,  -0.000000,   25.0000,    1.2580
    0.000,     0.000,   0.144973,   0.000879,   0.005598,   0.006477,   0.000000,  -0.000000,  -0.088786,   0.000000,  -0.000000,   25.0000,    1.0065
    0.500,     0.000,   0.187288,   0.001481,   0.005523,   0.007005,   0.000000,  -0.000000,  -0.099363,   0.000000,   0.000000,   25.0000,    0.8691
    1.000,     0.000,   0.229497,   0.002243,   0.005430,   0.007673,   0.000000,  -0.000000,  -0.109905,   0.000000,   0.000000,   25.0000,    0.7828
    1.500,     0.000,   0.271619,   0.003163,   0.005330,   0.008493,   0.000000,  -0.000000,  -0.120404,   0.000000,  -0.000000,   25.0000,    0.7234
    2.000,     0.000,   0.313719,   0.004243,   0.005242,   0.009485,   0.000000,  -0.000000,  -0.130881,   0.000000,   0.000000,   25.0000,    0.6797
    2.500,     0.000,   0.355785,   0.005481,   0.005178,   0.010659,   0.000000,   0.000000,  -0.141319,   0.000000,   0.000000,   25.0000,    0.6463
    3.000,     0.000,   0.397686,   0.006870,   0.005129,   0.011999,   0.000000,  -0.000000,  -0.151642,  -0.000000,  -0.000000,   25.0000,    0.6196
    3.500,     0.000,   0.439213,   0.008413,   0.005102,   0.013515,   0.000000,  -0.000000,  -0.161766,   0.000000,   0.000000,   25.0000,    0.5977
