xflr5 v6.62

Plane name :, AR6.00_TR0.30_TW1.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.000,     0.000,  -0.354407,   0.006671,   0.006854,   0.013525,   0.000000,   0.000000,   0.039580,   0.000000,  -0.000000,   25.0000,    0.1785
   -5.500,     0.000,  -0.311699,   0.005238,   0.006697,   0.011935,   0.000000,   0.000000,   0.028246,  -0.000000,  -0.000000,   25.0000,    0.1367
   -5.000,     0.000,  -0.270357,   0.003946,   0.006532,   0.010478,   0.000000,   0.000000,   0.017295,  -0.000000,  -0.000000,   25.0000,    0.0835
   -4.500,     0.000,  -0.228860,   0.002837,   0.006396,   0.009233,   0.000000,   0.000000,   0.006284,   0.000000,   0.000000,   25.0000,    0.0105
   -4.000,     0.000,  -0.187281,   0.001910,   0.006270,   0.008180,   0.000000,   0.000000,  -0.004769,  -0.000000,  -0.000000,   25.0000,   -0.0956
   -3.500,     0.000,  -0.145763,   0.001170,   0.006142,   0.007312,   0.000000,   0.000000,  -0.015802,  -0.000000,  -0.000000,   25.0000,   -0.2624
   -3.000,     0.000,  -0.104176,   0.000614,   0.006037,   0.006650,   0.000000,   0.000000,  -0.026876,   0.000000,  -0.000000,   25.0000,   -0.5635
   -2.500,     0.000,  -0.062592,   0.000243,   0.005939,   0.006182,   0.000000,  -0.000000,  -0.037955,   0.000000,  -0.000000,   25.0000,   -1.2769
   -2.000,     0.000,  -0.021015,   0.000057,   0.005847,   0.005904,   0.000000,   0.000000,  -0.049038,   0.000000,   0.000000,   25.0000,   -4.3099
   -1.500,     0.000,   0.020615,   0.000057,   0.005767,   0.005824,   0.000000,  -0.000000,  -0.060139,   0.000000,   0.000000,   25.0000,    2.5602
   -1.000,     0.000,   0.062186,   0.000243,   0.005699,   0.005941,   0.000000,   0.000000,  -0.071231,   0.000000,   0.000000,   25.0000,    2.2662
   -0.500,     0.000,   0.103854,   0.000613,   0.005625,   0.006239,   0.000000,  -0.000000,  -0.082368,   0.000000,  -0.000000,   25.0000,    1.5507
    0.000,     0.000,   0.145517,   0.001171,   0.005559,   0.006730,   0.000000,  -0.000000,  -0.093521,  -0.000000,   0.000000,   25.0000,    1.2474
    0.500,     0.000,   0.187072,   0.001914,   0.005503,   0.007417,   0.000000,  -0.000000,  -0.104636,   0.000000,   0.000000,   25.0000,    1.0798
    1.000,     0.000,   0.228549,   0.002840,   0.005435,   0.008275,   0.000000,  -0.000000,  -0.115725,  -0.000000,  -0.000000,   25.0000,    0.9731
    1.500,     0.000,   0.269968,   0.003949,   0.005349,   0.009298,   0.000000,  -0.000000,  -0.126800,  -0.000000,  -0.000000,   25.0000,    0.8993
    2.000,     0.000,   0.311434,   0.005239,   0.005255,   0.010494,   0.000000,  -0.000000,  -0.137877,   0.000000,  -0.000000,   25.0000,    0.8449
    2.500,     0.000,   0.352726,   0.006714,   0.005173,   0.011887,   0.000000,  -0.000000,  -0.148880,  -0.000000,  -0.000000,   25.0000,    0.8033
    3.000,     0.000,   0.393965,   0.008366,   0.005120,   0.013486,   0.000000,  -0.000000,  -0.159838,   0.000000,  -0.000000,   25.0000,    0.7702
    3.500,     0.000,   0.435128,   0.010198,   0.005079,   0.015278,   0.000000,  -0.000000,  -0.170756,  -0.000000,  -0.000000,   25.0000,    0.7432
    4.000,     0.000,   0.476009,   0.012199,   0.005069,   0.017268,   0.000000,   0.000000,  -0.181514,   0.000000,  -0.000000,   25.0000,    0.7206
    4.500,     0.000,   0.516518,   0.014360,   0.005105,   0.019465,   0.000000,  -0.000000,  -0.192066,  -0.000000,  -0.000000,   25.0000,    0.7012
    5.000,     0.000,   0.556937,   0.016685,   0.005188,   0.021873,   0.000000,  -0.000000,  -0.202496,  -0.000000,  -0.000000,   25.0000,    0.6842
    5.500,     0.000,   0.597595,   0.019201,   0.005325,   0.024525,   0.000000,  -0.000000,  -0.212915,   0.000000,   0.000000,   25.0000,    0.6693
    6.000,     0.000,   0.638928,   0.021924,   0.005513,   0.027437,   0.000000,  -0.000000,  -0.223571,  -0.000000,  -0.000000,   25.0000,    0.6563
    6.500,     0.000,   0.681043,   0.024878,   0.005761,   0.030639,   0.000000,  -0.000000,  -0.234551,  -0.000000,  -0.000000,   25.0000,    0.6451
    7.000,     0.000,   0.724521,   0.028121,   0.006068,   0.034190,   0.000000,  -0.000000,  -0.246206,  -0.000000,  -0.000000,   25.0000,    0.6358
    7.500,     0.000,   0.767328,   0.031550,   0.006423,   0.037973,   0.000000,  -0.000000,  -0.257941,   0.000000,   0.000000,   25.0000,    0.6280
    8.000,     0.000,   0.809470,   0.035118,   0.006804,   0.041922,   0.000000,  -0.000000,  -0.269684,  -0.000000,  -0.000000,   25.0000,    0.6213
    8.500,     0.000,   0.849307,   0.038685,   0.007217,   0.045902,   0.000000,  -0.000000,  -0.280519,  -0.000000,  -0.000000,   25.0000,    0.6146
    9.000,     0.000,   0.888823,   0.042401,   0.007624,   0.050025,   0.000000,  -0.000000,  -0.291196,  -0.000000,  -0.000000,   25.0000,    0.6083
    9.500,     0.000,   0.927767,   0.046217,   0.008023,   0.054240,   0.000000,  -0.000000,  -0.301399,  -0.000000,  -0.000000,   25.0000,    0.6018
