xflr5 v6.62

Plane name :, AR6.00_TR1.00_TW1.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.000,     0.000,  -0.346279,   0.006857,   0.006792,   0.013649,   0.000000,   0.000000,   0.033762,   0.000000,   0.000000,   25.0000,    0.1634
   -5.500,     0.000,  -0.304821,   0.005423,   0.006646,   0.012069,   0.000000,   0.000000,   0.023460,   0.000000,   0.000000,   25.0000,    0.1255
   -5.000,     0.000,  -0.264867,   0.004127,   0.006480,   0.010607,   0.000000,   0.000000,   0.013575,   0.000000,   0.000000,   25.0000,    0.0780
   -4.500,     0.000,  -0.224685,   0.003005,   0.006362,   0.009367,   0.000000,   0.000000,   0.003598,   0.000000,  -0.000000,   25.0000,    0.0127
   -4.000,     0.000,  -0.184417,   0.002061,   0.006239,   0.008301,   0.000000,   0.000000,  -0.006436,   0.000000,   0.000000,   25.0000,   -0.0819
   -3.500,     0.000,  -0.144226,   0.001299,   0.006113,   0.007411,   0.000000,   0.000000,  -0.016442,   0.000000,  -0.000000,   25.0000,   -0.2292
   -3.000,     0.000,  -0.103958,   0.000714,   0.006004,   0.006718,   0.000000,   0.000000,  -0.026488,   0.000000,   0.000000,   25.0000,   -0.4917
   -2.500,     0.000,  -0.063681,   0.000310,   0.005912,   0.006222,   0.000000,   0.000000,  -0.036542,   0.000000,   0.000000,   25.0000,   -1.0906
   -2.000,     0.000,  -0.023408,   0.000086,   0.005828,   0.005914,   0.000000,   0.000000,  -0.046604,   0.000000,   0.000000,   25.0000,   -3.7105
   -1.500,     0.000,   0.016868,   0.000043,   0.005755,   0.005797,   0.000000,   0.000000,  -0.056672,   0.000000,   0.000000,   25.0000,    5.6027
   -1.000,     0.000,   0.057165,   0.000179,   0.005681,   0.005860,   0.000000,  -0.000000,  -0.066760,   0.000000,   0.000000,   25.0000,    2.1902
   -0.500,     0.000,   0.097485,   0.000496,   0.005621,   0.006117,   0.000000,  -0.000000,  -0.076862,   0.000000,  -0.000000,   25.0000,    1.4548
    0.000,     0.000,   0.137785,   0.000994,   0.005560,   0.006553,   0.000000,  -0.000000,  -0.086964,   0.000000,   0.000000,   25.0000,    1.1597
    0.500,     0.000,   0.178089,   0.001671,   0.005504,   0.007176,   0.000000,  -0.000000,  -0.097072,   0.000000,   0.000000,   25.0000,    0.9989
    1.000,     0.000,   0.218320,   0.002528,   0.005436,   0.007964,   0.000000,  -0.000000,  -0.107158,   0.000000,   0.000000,   25.0000,    0.8975
    1.500,     0.000,   0.258396,   0.003561,   0.005342,   0.008902,   0.000000,  -0.000000,  -0.117184,   0.000000,   0.000000,   25.0000,    0.8278
    2.000,     0.000,   0.298451,   0.004771,   0.005257,   0.010028,   0.000000,  -0.000000,  -0.127195,   0.000000,   0.000000,   25.0000,    0.7768
    2.500,     0.000,   0.338505,   0.006160,   0.005190,   0.011350,   0.000000,  -0.000000,  -0.137190,   0.000000,   0.000000,   25.0000,    0.7377
    3.000,     0.000,   0.378556,   0.007727,   0.005134,   0.012861,   0.000000,  -0.000000,  -0.147171,   0.000000,  -0.000000,   25.0000,    0.7067
    3.500,     0.000,   0.418400,   0.009463,   0.005094,   0.014557,   0.000000,  -0.000000,  -0.157032,   0.000000,  -0.000000,   25.0000,    0.6814
    4.000,     0.000,   0.457948,   0.011363,   0.005080,   0.016444,   0.000000,  -0.000000,  -0.166721,   0.000000,   0.000000,   25.0000,    0.6602
    4.500,     0.000,   0.496906,   0.013410,   0.005104,   0.018514,   0.000000,  -0.000000,  -0.176083,   0.000000,   0.000000,   25.0000,    0.6419
    5.000,     0.000,   0.535279,   0.015596,   0.005186,   0.020782,   0.000000,  -0.000000,  -0.185113,   0.000000,   0.000000,   25.0000,    0.6257
    5.500,     0.000,   0.573978,   0.017962,   0.005326,   0.023289,   0.000000,  -0.000000,  -0.194318,   0.000000,   0.000000,   25.0000,    0.6117
    6.000,     0.000,   0.613966,   0.020568,   0.005525,   0.026092,   0.000000,  -0.000000,  -0.204237,   0.000000,   0.000000,   25.0000,    0.6004
    6.500,     0.000,   0.655956,   0.023471,   0.005785,   0.029256,   0.000000,  -0.000000,  -0.215278,   0.000000,  -0.000000,   25.0000,    0.5916
    7.000,     0.000,   0.699430,   0.026670,   0.006093,   0.032764,   0.000000,  -0.000000,  -0.227166,   0.000000,  -0.000000,   25.0000,    0.5848
    7.500,     0.000,   0.741667,   0.030017,   0.006435,   0.036452,   0.000000,  -0.000000,  -0.238496,   0.000000,   0.000000,   25.0000,    0.5782
    8.000,     0.000,   0.780678,   0.033305,   0.006790,   0.040094,   0.000000,  -0.000000,  -0.248120,   0.000000,   0.000000,   25.0000,    0.5707
    8.500,     0.000,   0.818598,   0.036688,   0.007141,   0.043829,   0.000000,  -0.000000,  -0.257182,   0.000000,   0.000000,   25.0000,    0.5634
    9.000,     0.000,   0.855921,   0.040179,   0.007507,   0.047686,   0.000000,  -0.000000,  -0.265937,   0.000000,   0.000000,   25.0000,    0.5563
