xflr5 v6.62

Plane name :, AR7.50_TR0.47_TW1.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.000,     0.000,  -0.372337,   0.005996,   0.007061,   0.013057,   0.000000,   0.000000,   0.043329,   0.000000,   0.000000,   25.0000,    0.1688
   -5.500,     0.000,  -0.327617,   0.004736,   0.006872,   0.011608,   0.000000,   0.000000,   0.031630,  -0.000000,  -0.000000,   25.0000,    0.1353
   -5.000,     0.000,  -0.284241,   0.003582,   0.006689,   0.010271,   0.000000,   0.000000,   0.020306,   0.000000,  -0.000000,   25.0000,    0.0927
   -4.500,     0.000,  -0.240771,   0.002590,   0.006531,   0.009121,   0.000000,   0.000000,   0.008934,   0.000000,  -0.000000,   25.0000,    0.0343
   -4.000,     0.000,  -0.197189,   0.001758,   0.006386,   0.008143,   0.000000,   0.000000,  -0.002494,   0.000000,  -0.000000,   25.0000,   -0.0506
   -3.500,     0.000,  -0.153645,   0.001090,   0.006245,   0.007335,   0.000000,   0.000000,  -0.013913,   0.000000,   0.000000,   25.0000,   -0.1838
   -3.000,     0.000,  -0.110064,   0.000585,   0.006124,   0.006708,   0.000000,   0.000000,  -0.025357,   0.000000,   0.000000,   25.0000,   -0.4230
   -2.500,     0.000,  -0.066488,   0.000243,   0.006012,   0.006256,   0.000000,   0.000000,  -0.036809,   0.000000,   0.000000,   25.0000,   -0.9808
   -2.000,     0.000,  -0.022888,   0.000065,   0.005913,   0.005979,   0.000000,   0.000000,  -0.048280,   0.000000,   0.000000,   25.0000,   -3.3502
   -1.500,     0.000,   0.020712,   0.000051,   0.005818,   0.005869,   0.000000,  -0.000000,  -0.059760,   0.000000,   0.000000,   25.0000,    3.3298
   -1.000,     0.000,   0.064361,   0.000200,   0.005740,   0.005940,   0.000000,  -0.000000,  -0.071265,   0.000000,  -0.000000,   25.0000,    1.8770
   -0.500,     0.000,   0.107996,   0.000513,   0.005666,   0.006179,   0.000000,   0.000000,  -0.082777,   0.000000,  -0.000000,   25.0000,    1.2844
    0.000,     0.000,   0.151636,   0.000990,   0.005598,   0.006588,   0.000000,  -0.000000,  -0.094298,   0.000000,   0.000000,   25.0000,    1.0361
    0.500,     0.000,   0.195270,   0.001631,   0.005529,   0.007159,   0.000000,  -0.000000,  -0.105828,   0.000000,  -0.000000,   25.0000,    0.8990
    1.000,     0.000,   0.238756,   0.002433,   0.005439,   0.007872,   0.000000,  -0.000000,  -0.117306,   0.000000,  -0.000000,   25.0000,    0.8122
    1.500,     0.000,   0.281995,   0.003392,   0.005322,   0.008714,   0.000000,  -0.000000,  -0.128675,   0.000000,  -0.000000,   25.0000,    0.7521
    2.000,     0.000,   0.325262,   0.004512,   0.005231,   0.009743,   0.000000,  -0.000000,  -0.140036,   0.000000,   0.000000,   25.0000,    0.7079
    2.500,     0.000,   0.368657,   0.005797,   0.005157,   0.010954,   0.000000,  -0.000000,  -0.151442,   0.000000,   0.000000,   25.0000,    0.6739
    3.000,     0.000,   0.411890,   0.007239,   0.005099,   0.012338,   0.000000,  -0.000000,  -0.162748,   0.000000,  -0.000000,   25.0000,    0.6469
    3.500,     0.000,   0.454828,   0.008831,   0.005076,   0.013907,   0.000000,  -0.000000,  -0.173882,   0.000000,  -0.000000,   25.0000,    0.6247
    4.000,     0.000,   0.497280,   0.010563,   0.005079,   0.015641,   0.000000,  -0.000000,  -0.184733,   0.000000,  -0.000000,   25.0000,    0.6059
    4.500,     0.000,   0.539213,   0.012426,   0.005130,   0.017556,   0.000000,  -0.000000,  -0.195263,   0.000000,   0.000000,   25.0000,    0.5895
