xflr5 v6.62

Plane name :, AR6.00_TR0.82_TW0.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.000,     0.000,  -0.313512,   0.005332,   0.006677,   0.012010,   0.000000,   0.000000,   0.026980,   0.000000,   0.000000,   25.0000,    0.1378
   -5.500,     0.000,  -0.271647,   0.004079,   0.006518,   0.010597,   0.000000,   0.000000,   0.016424,   0.000000,   0.000000,   25.0000,    0.0904
   -5.000,     0.000,  -0.230997,   0.002954,   0.006388,   0.009342,   0.000000,   0.000000,   0.006127,   0.000000,  -0.000000,   25.0000,    0.0273
   -4.500,     0.000,  -0.190344,   0.002011,   0.006252,   0.008263,   0.000000,   0.000000,  -0.004178,   0.000000,   0.000000,   25.0000,   -0.0630
   -4.000,     0.000,  -0.149705,   0.001248,   0.006131,   0.007379,   0.000000,   0.000000,  -0.014478,   0.000000,   0.000000,   25.0000,   -0.2025
   -3.500,     0.000,  -0.109016,   0.000666,   0.006021,   0.006687,   0.000000,   0.000000,  -0.024809,   0.000000,  -0.000000,   25.0000,   -0.4476
   -3.000,     0.000,  -0.068304,   0.000265,   0.005929,   0.006194,   0.000000,   0.000000,  -0.035153,   0.000000,  -0.000000,   25.0000,   -0.9884
   -2.500,     0.000,  -0.027618,   0.000046,   0.005832,   0.005878,   0.000000,   0.000000,  -0.045500,   0.000000,  -0.000000,   25.0000,   -3.1967
   -2.000,     0.000,   0.013089,   0.000008,   0.005756,   0.005763,   0.000000,  -0.000000,  -0.055860,   0.000000,   0.000000,   25.0000,    9.6729
   -1.500,     0.000,   0.053827,   0.000151,   0.005689,   0.005840,   0.000000,  -0.000000,  -0.066241,   0.000000,   0.000000,   25.0000,    2.2920
   -1.000,     0.000,   0.094564,   0.000476,   0.005627,   0.006103,   0.000000,  -0.000000,  -0.076628,   0.000000,   0.000000,   25.0000,    1.4942
   -0.500,     0.000,   0.135314,   0.000983,   0.005571,   0.006554,   0.000000,  -0.000000,  -0.087027,   0.000000,   0.000000,   25.0000,    1.1806
    0.000,     0.000,   0.176050,   0.001672,   0.005513,   0.007185,   0.000000,  -0.000000,  -0.097428,   0.000000,  -0.000000,   25.0000,    1.0130
    0.500,     0.000,   0.216704,   0.002540,   0.005457,   0.007997,   0.000000,  -0.000000,  -0.107797,   0.000000,   0.000000,   25.0000,    0.9076
    1.000,     0.000,   0.257250,   0.003587,   0.005367,   0.008954,   0.000000,  -0.000000,  -0.118128,   0.000000,   0.000000,   25.0000,    0.8360
    1.500,     0.000,   0.297762,   0.004812,   0.005262,   0.010073,   0.000000,  -0.000000,  -0.128447,   0.000000,   0.000000,   25.0000,    0.7839
    2.000,     0.000,   0.338265,   0.006217,   0.005176,   0.011393,   0.000000,  -0.000000,  -0.138749,   0.000000,   0.000000,   25.0000,    0.7441
    2.500,     0.000,   0.378696,   0.007799,   0.005130,   0.012929,   0.000000,  -0.000000,  -0.148999,   0.000000,   0.000000,   25.0000,    0.7127
    3.000,     0.000,   0.419081,   0.009558,   0.005093,   0.014651,   0.000000,  -0.000000,  -0.159205,   0.000000,  -0.000000,   25.0000,    0.6872
    3.500,     0.000,   0.459243,   0.011485,   0.005064,   0.016549,   0.000000,  -0.000000,  -0.169275,   0.000000,   0.000000,   25.0000,    0.6658
    4.000,     0.000,   0.498931,   0.013566,   0.005071,   0.018637,   0.000000,  -0.000000,  -0.179070,   0.000000,   0.000000,   25.0000,    0.6474
    4.500,     0.000,   0.537924,   0.015783,   0.005126,   0.020909,   0.000000,  -0.000000,  -0.188459,   0.000000,   0.000000,   25.0000,    0.6311
    5.000,     0.000,   0.576382,   0.018136,   0.005251,   0.023387,   0.000000,  -0.000000,  -0.197534,   0.000000,   0.000000,   25.0000,    0.6165
    5.500,     0.000,   0.615563,   0.020694,   0.005437,   0.026131,   0.000000,  -0.000000,  -0.207042,   0.000000,  -0.000000,   25.0000,    0.6042
    6.000,     0.000,   0.656212,   0.023518,   0.005700,   0.029218,   0.000000,  -0.000000,  -0.217446,   0.000000,   0.000000,   25.0000,    0.5945
