xflr5 v6.62

Plane name :, AR7.50_TR0.47_TW2.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.500,     0.000,  -0.366056,   0.005941,   0.007043,   0.012985,   0.000000,   0.000000,   0.040148,   0.000000,   0.000000,   25.0000,    0.1611
   -5.000,     0.000,  -0.321246,   0.004701,   0.006853,   0.011554,   0.000000,   0.000000,   0.028423,   0.000000,   0.000000,   25.0000,    0.1257
   -4.500,     0.000,  -0.277894,   0.003568,   0.006676,   0.010244,   0.000000,   0.000000,   0.017101,   0.000000,   0.000000,   25.0000,    0.0806
   -4.000,     0.000,  -0.234365,   0.002594,   0.006516,   0.009110,   0.000000,   0.000000,   0.005703,   0.000000,   0.000000,   25.0000,    0.0181
   -3.500,     0.000,  -0.190815,   0.001782,   0.006373,   0.008156,   0.000000,   0.000000,  -0.005712,   0.000000,   0.000000,   25.0000,   -0.0733
   -3.000,     0.000,  -0.147297,   0.001135,   0.006237,   0.007372,   0.000000,   0.000000,  -0.017126,   0.000000,  -0.000000,   25.0000,   -0.2192
   -2.500,     0.000,  -0.103720,   0.000650,   0.006116,   0.006766,   0.000000,   0.000000,  -0.028570,   0.000000,   0.000000,   25.0000,   -0.4899
   -2.000,     0.000,  -0.060129,   0.000328,   0.006003,   0.006331,   0.000000,   0.000000,  -0.040027,   0.000000,   0.000000,   25.0000,   -1.1971
   -1.500,     0.000,  -0.016509,   0.000169,   0.005902,   0.006071,   0.000000,   0.000000,  -0.051509,   0.000000,   0.000000,   25.0000,   -4.3471
   -1.000,     0.000,   0.027118,   0.000174,   0.005813,   0.005987,   0.000000,  -0.000000,  -0.063002,   0.000000,   0.000000,   25.0000,    4.1219
   -0.500,     0.000,   0.070752,   0.000343,   0.005733,   0.006076,   0.000000,  -0.000000,  -0.074506,   0.000000,   0.000000,   25.0000,    1.7864
    0.000,     0.000,   0.114400,   0.000676,   0.005661,   0.006338,   0.000000,  -0.000000,  -0.086026,   0.000000,   0.000000,   25.0000,    1.2488
    0.500,     0.000,   0.158038,   0.001173,   0.005593,   0.006766,   0.000000,  -0.000000,  -0.097546,   0.000000,   0.000000,   25.0000,    1.0203
    1.000,     0.000,   0.201602,   0.001833,   0.005526,   0.007359,   0.000000,   0.000000,  -0.109039,   0.000000,  -0.000000,   25.0000,    0.8906
    1.500,     0.000,   0.245045,   0.002653,   0.005430,   0.008083,   0.000000,  -0.000000,  -0.120492,  -0.000000,  -0.000000,   25.0000,    0.8075
    2.000,     0.000,   0.288370,   0.003633,   0.005306,   0.008939,   0.000000,  -0.000000,  -0.131902,   0.000000,  -0.000000,   25.0000,    0.7494
    2.500,     0.000,   0.331694,   0.004775,   0.005213,   0.009988,   0.000000,  -0.000000,  -0.143291,   0.000000,  -0.000000,   25.0000,    0.7064
    3.000,     0.000,   0.374965,   0.006076,   0.005157,   0.011233,   0.000000,  -0.000000,  -0.154629,   0.000000,  -0.000000,   25.0000,    0.6731
    3.500,     0.000,   0.418177,   0.007537,   0.005108,   0.012644,   0.000000,  -0.000000,  -0.165919,   0.000000,  -0.000000,   25.0000,    0.6465
    4.000,     0.000,   0.461106,   0.009148,   0.005077,   0.014224,   0.000000,  -0.000000,  -0.177033,   0.000000,   0.000000,   25.0000,    0.6245
    4.500,     0.000,   0.503441,   0.010892,   0.005084,   0.015976,   0.000000,  -0.000000,  -0.187795,   0.000000,  -0.000000,   25.0000,    0.6058
    5.000,     0.000,   0.545163,   0.012763,   0.005151,   0.017915,   0.000000,  -0.000000,  -0.198181,   0.000000,   0.000000,   25.0000,    0.5894
    5.500,     0.000,   0.586775,   0.014775,   0.005297,   0.020073,   0.000000,  -0.000000,  -0.208463,   0.000000,   0.000000,   25.0000,    0.5751
    6.000,     0.000,   0.629341,   0.016983,   0.005508,   0.022491,   0.000000,  -0.000000,  -0.219238,   0.000000,   0.000000,   25.0000,    0.5632
    6.500,     0.000,   0.674140,   0.019469,   0.005796,   0.025265,   0.000000,  -0.000000,  -0.231280,   0.000000,   0.000000,   25.0000,    0.5539
    7.000,     0.000,   0.722012,   0.022309,   0.006137,   0.028446,   0.000000,  -0.000000,  -0.245167,   0.000000,  -0.000000,   25.0000,    0.5476
    7.500,     0.000,   0.770388,   0.025399,   0.006548,   0.031948,   0.000000,  -0.000000,  -0.259470,   0.000000,   0.000000,   25.0000,    0.5426
    8.000,     0.000,   0.816137,   0.028514,   0.006960,   0.035474,   0.000000,  -0.000000,  -0.272475,  -0.000000,  -0.000000,   25.0000,    0.5370
    8.500,     0.000,   0.856367,   0.031420,   0.007393,   0.038813,   0.000000,  -0.000000,  -0.282423,   0.000000,   0.000000,   25.0000,    0.5296
    9.000,     0.000,   0.895468,   0.034374,   0.007814,   0.042188,   0.000000,  -0.000000,  -0.291687,  -0.000000,  -0.000000,   25.0000,    0.5221
    9.500,     0.000,   0.934513,   0.037450,   0.008243,   0.045693,   0.000000,  -0.000000,  -0.300875,   0.000000,   0.000000,   25.0000,    0.5150
