xflr5 v6.62

Plane name :, AR6.00_TR0.65_TW1.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.000,     0.000,  -0.352397,   0.006803,   0.006829,   0.013632,   0.000000,  -0.000000,   0.037577,   0.000000,   0.000000,   25.0000,    0.1733
   -5.500,     0.000,  -0.310015,   0.005370,   0.006674,   0.012043,   0.000000,   0.000000,   0.026648,   0.000000,   0.000000,   25.0000,    0.1349
   -5.000,     0.000,  -0.269164,   0.004071,   0.006511,   0.010582,   0.000000,   0.000000,   0.016148,   0.000000,  -0.000000,   25.0000,    0.0866
   -4.500,     0.000,  -0.228110,   0.002950,   0.006383,   0.009332,   0.000000,   0.000000,   0.005560,   0.000000,   0.000000,   25.0000,    0.0201
   -4.000,     0.000,  -0.187032,   0.002010,   0.006255,   0.008265,   0.000000,   0.000000,  -0.005052,   0.000000,   0.000000,   25.0000,   -0.0760
   -3.500,     0.000,  -0.145986,   0.001253,   0.006128,   0.007381,   0.000000,   0.000000,  -0.015656,   0.000000,   0.000000,   25.0000,   -0.2263
   -3.000,     0.000,  -0.104864,   0.000678,   0.006024,   0.006702,   0.000000,   0.000000,  -0.026298,   0.000000,   0.000000,   25.0000,   -0.4960
   -2.500,     0.000,  -0.063749,   0.000285,   0.005931,   0.006216,   0.000000,   0.000000,  -0.036945,   0.000000,   0.000000,   25.0000,   -1.1187
   -2.000,     0.000,  -0.022643,   0.000076,   0.005843,   0.005918,   0.000000,   0.000000,  -0.047598,   0.000000,   0.000000,   25.0000,   -3.8736
   -1.500,     0.000,   0.018466,   0.000049,   0.005763,   0.005812,   0.000000,  -0.000000,  -0.058259,   0.000000,   0.000000,   25.0000,    5.6458
   -1.000,     0.000,   0.059626,   0.000205,   0.005693,   0.005897,   0.000000,  -0.000000,  -0.068949,   0.000000,  -0.000000,   25.0000,    2.1609
   -0.500,     0.000,   0.100756,   0.000544,   0.005625,   0.006168,   0.000000,  -0.000000,  -0.079634,   0.000000,   0.000000,   25.0000,    1.4590
    0.000,     0.000,   0.141934,   0.001066,   0.005569,   0.006635,   0.000000,  -0.000000,  -0.090345,   0.000000,  -0.000000,   25.0000,    1.1686
    0.500,     0.000,   0.183110,   0.001772,   0.005511,   0.007283,   0.000000,  -0.000000,  -0.101064,   0.000000,  -0.000000,   25.0000,    1.0099
    1.000,     0.000,   0.224193,   0.002659,   0.005446,   0.008105,   0.000000,  -0.000000,  -0.111748,   0.000000,   0.000000,   25.0000,    0.9094
    1.500,     0.000,   0.265089,   0.003723,   0.005356,   0.009079,   0.000000,  -0.000000,  -0.122353,   0.000000,  -0.000000,   25.0000,    0.8401
    2.000,     0.000,   0.305959,   0.004967,   0.005258,   0.010225,   0.000000,  -0.000000,  -0.132946,   0.000000,   0.000000,   25.0000,    0.7893
    2.500,     0.000,   0.346905,   0.006394,   0.005169,   0.011563,   0.000000,  -0.000000,  -0.143565,   0.000000,  -0.000000,   25.0000,    0.7504
    3.000,     0.000,   0.387776,   0.008000,   0.005120,   0.013121,   0.000000,  -0.000000,  -0.154128,   0.000000,   0.000000,   25.0000,    0.7195
    3.500,     0.000,   0.428497,   0.009780,   0.005091,   0.014871,   0.000000,  -0.000000,  -0.164594,  -0.000000,  -0.000000,   25.0000,    0.6942
    4.000,     0.000,   0.468973,   0.011727,   0.005071,   0.016798,   0.000000,  -0.000000,  -0.174911,  -0.000000,  -0.000000,   25.0000,    0.6730
    4.500,     0.000,   0.509030,   0.013830,   0.005088,   0.018918,   0.000000,  -0.000000,  -0.184972,   0.000000,   0.000000,   25.0000,    0.6548
    5.000,     0.000,   0.548424,   0.016070,   0.005149,   0.021219,   0.000000,  -0.000000,  -0.194636,   0.000000,   0.000000,   25.0000,    0.6385
    5.500,     0.000,   0.587271,   0.018445,   0.005276,   0.023721,   0.000000,  -0.000000,  -0.203971,   0.000000,   0.000000,   25.0000,    0.6240
    6.000,     0.000,   0.626965,   0.021037,   0.005481,   0.026519,   0.000000,  -0.000000,  -0.213821,   0.000000,   0.000000,   25.0000,    0.6118
    6.500,     0.000,   0.668029,   0.023893,   0.005742,   0.029635,   0.000000,  -0.000000,  -0.224485,   0.000000,   0.000000,   25.0000,    0.6020
    7.000,     0.000,   0.711878,   0.027126,   0.006059,   0.033185,   0.000000,  -0.000000,  -0.236830,   0.000000,   0.000000,   25.0000,    0.5952
    7.500,     0.000,   0.757409,   0.030706,   0.006434,   0.037141,   0.000000,  -0.000000,  -0.250207,   0.000000,   0.000000,   25.0000,    0.5902
    8.000,     0.000,   0.801170,   0.034382,   0.006810,   0.041192,   0.000000,  -0.000000,  -0.262617,   0.000000,   0.000000,   25.0000,    0.5849
    8.500,     0.000,   0.840389,   0.037862,   0.007211,   0.045073,   0.000000,  -0.000000,  -0.272426,   0.000000,   0.000000,   25.0000,    0.5775
    9.000,     0.000,   0.877485,   0.041315,   0.007584,   0.048899,   0.000000,  -0.000000,  -0.281023,   0.000000,   0.000000,   25.0000,    0.5696
    9.500,     0.000,   0.914879,   0.044948,   0.007967,   0.052914,   0.000000,  -0.000000,  -0.289797,   0.000000,   0.000000,   25.0000,    0.5624
   10.000,     0.000,   0.952540,   0.048753,   0.008343,   0.057095,   0.000000,  -0.000000,  -0.298779,   0.000000,   0.000000,   25.0000,    0.5559
   10.500,     0.000,   0.990530,   0.052734,   0.008717,   0.061451,   0.000000,  -0.000000,  -0.307956,  -0.000000,  -0.000000,   25.0000,    0.5500
   11.000,     0.000,   1.028464,   0.056885,   0.009104,   0.065989,   0.000000,  -0.000000,  -0.317149,  -0.000000,  -0.000000,   25.0000,    0.5445
   11.500,     0.000,   1.066422,   0.061181,   0.009489,   0.070670,   0.000000,  -0.000000,  -0.326365,   0.000000,   0.000000,   25.0000,    0.5393
   12.000,     0.000,   1.104148,   0.065608,   0.009890,   0.075498,   0.000000,  -0.000000,  -0.335494,   0.000000,   0.000000,   25.0000,    0.5343
   12.500,     0.000,   1.141884,   0.070191,   0.010282,   0.080473,   0.000000,  -0.000000,  -0.344640,   0.000000,   0.000000,   25.0000,    0.5296
   13.000,     0.000,   1.179165,   0.074880,   0.010716,   0.085596,   0.000000,  -0.000000,  -0.353581,  -0.000000,  -0.000000,   25.0000,    0.5250
   13.500,     0.000,   1.216560,   0.079733,   0.011123,   0.090856,   0.000000,  -0.000000,  -0.362603,   0.000000,  -0.000000,   25.0000,    0.5207
