xflr5 v6.62

Plane name :, AR7.50_TR0.65_TW1.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.000,     0.000,  -0.370331,   0.006070,   0.007049,   0.013119,   0.000000,  -0.000000,   0.041660,   0.000000,   0.000000,   25.0000,    0.1652
   -5.500,     0.000,  -0.325944,   0.004807,   0.006863,   0.011669,   0.000000,   0.000000,   0.030275,   0.000000,  -0.000000,   25.0000,    0.1327
   -5.000,     0.000,  -0.282911,   0.003647,   0.006681,   0.010328,   0.000000,   0.000000,   0.019248,   0.000000,  -0.000000,   25.0000,    0.0915
   -4.500,     0.000,  -0.239769,   0.002646,   0.006526,   0.009172,   0.000000,   0.000000,   0.008168,   0.000000,   0.000000,   25.0000,    0.0349
   -4.000,     0.000,  -0.196575,   0.001807,   0.006379,   0.008186,   0.000000,   0.000000,  -0.002945,   0.000000,  -0.000000,   25.0000,   -0.0471
   -3.500,     0.000,  -0.153377,   0.001130,   0.006240,   0.007370,   0.000000,   0.000000,  -0.014067,   0.000000,  -0.000000,   25.0000,   -0.1755
   -3.000,     0.000,  -0.110143,   0.000615,   0.006121,   0.006736,   0.000000,   0.000000,  -0.025212,   0.000000,   0.000000,   25.0000,   -0.4056
   -2.500,     0.000,  -0.066918,   0.000263,   0.006009,   0.006272,   0.000000,   0.000000,  -0.036364,   0.000000,   0.000000,   25.0000,   -0.9369
   -2.000,     0.000,  -0.023679,   0.000073,   0.005911,   0.005984,   0.000000,  -0.000000,  -0.047531,   0.000000,   0.000000,   25.0000,   -3.1886
   -1.500,     0.000,   0.019564,   0.000047,   0.005818,   0.005865,   0.000000,   0.000000,  -0.058709,  -0.000000,   0.000000,   25.0000,    4.9147
   -1.000,     0.000,   0.062848,   0.000183,   0.005738,   0.005921,   0.000000,   0.000000,  -0.069912,  -0.000000,  -0.000000,   25.0000,    1.8553
