xflr5 v6.62

Plane name :, AR6.00_TR0.65_TW3.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.341941,   0.006917,   0.006801,   0.013717,   0.000000,   0.000000,   0.033149,   0.000000,   0.000000,   25.0000,    0.1601
   -4.500,     0.000,  -0.299630,   0.005507,   0.006639,   0.012146,   0.000000,   0.000000,   0.022260,   0.000000,   0.000000,   25.0000,    0.1187
   -4.000,     0.000,  -0.258668,   0.004228,   0.006489,   0.010717,   0.000000,   0.000000,   0.011707,   0.000000,   0.000000,   25.0000,    0.0655
   -3.500,     0.000,  -0.217626,   0.003130,   0.006356,   0.009486,   0.000000,   0.000000,   0.001116,   0.000000,   0.000000,   25.0000,   -0.0083
   -3.000,     0.000,  -0.176572,   0.002213,   0.006228,   0.008442,   0.000000,   0.000000,  -0.009485,   0.000000,   0.000000,   25.0000,   -0.1166
   -2.500,     0.000,  -0.135495,   0.001479,   0.006119,   0.007598,   0.000000,   0.000000,  -0.020104,   0.000000,   0.000000,   25.0000,   -0.2915
   -2.000,     0.000,  -0.094407,   0.000927,   0.006012,   0.006939,   0.000000,   0.000000,  -0.030736,   0.000000,   0.000000,   25.0000,   -0.6223
   -1.500,     0.000,  -0.053287,   0.000557,   0.005916,   0.006474,   0.000000,   0.000000,  -0.041389,   0.000000,   0.000000,   25.0000,   -1.5535
   -1.000,     0.000,  -0.012164,   0.000370,   0.005825,   0.006195,   0.000000,   0.000000,  -0.052052,   0.000000,   0.000000,   25.0000,   -8.7428
   -0.500,     0.000,   0.028978,   0.000366,   0.005751,   0.006117,   0.000000,   0.000000,  -0.062729,   0.000000,   0.000000,   25.0000,    3.9923
    0.000,     0.000,   0.070114,   0.000545,   0.005683,   0.006228,   0.000000,   0.000000,  -0.073412,   0.000000,   0.000000,   25.0000,    1.9646
    0.500,     0.000,   0.111267,   0.000907,   0.005618,   0.006525,   0.000000,  -0.000000,  -0.084108,   0.000000,   0.000000,   25.0000,    1.3835
    1.000,     0.000,   0.152432,   0.001452,   0.005559,   0.007011,   0.000000,  -0.000000,  -0.094817,   0.000000,   0.000000,   25.0000,    1.1311
    1.500,     0.000,   0.193576,   0.002180,   0.005498,   0.007678,   0.000000,  -0.000000,  -0.105522,   0.000000,  -0.000000,   25.0000,    0.9887
    2.000,     0.000,   0.234590,   0.003087,   0.005422,   0.008509,   0.000000,  -0.000000,  -0.116172,   0.000000,  -0.000000,   25.0000,    0.8964
    2.500,     0.000,   0.275491,   0.004173,   0.005328,   0.009501,   0.000000,  -0.000000,  -0.126776,   0.000000,  -0.000000,   25.0000,    0.8315
    3.000,     0.000,   0.316407,   0.005441,   0.005237,   0.010678,   0.000000,  -0.000000,  -0.137387,   0.000000,   0.000000,   25.0000,    0.7834
    3.500,     0.000,   0.357301,   0.006890,   0.005173,   0.012062,   0.000000,  -0.000000,  -0.147970,   0.000000,  -0.000000,   25.0000,    0.7462
    4.000,     0.000,   0.398096,   0.008514,   0.005129,   0.013643,   0.000000,  -0.000000,  -0.158484,   0.000000,  -0.000000,   25.0000,    0.7164
    4.500,     0.000,   0.438720,   0.010309,   0.005100,   0.015410,   0.000000,  -0.000000,  -0.168887,   0.000000,   0.000000,   25.0000,    0.6919
    5.000,     0.000,   0.479017,   0.012267,   0.005098,   0.017365,   0.000000,  -0.000000,  -0.179084,   0.000000,  -0.000000,   25.0000,    0.6711
    5.500,     0.000,   0.518739,   0.014369,   0.005132,   0.019501,   0.000000,  -0.000000,  -0.188932,   0.000000,   0.000000,   25.0000,    0.6530
    6.000,     0.000,   0.557898,   0.016610,   0.005223,   0.021833,   0.000000,  -0.000000,  -0.198440,   0.000000,   0.000000,   25.0000,    0.6369
    6.500,     0.000,   0.597109,   0.019023,   0.005375,   0.024398,   0.000000,  -0.000000,  -0.208002,   0.000000,   0.000000,   25.0000,    0.6230
    7.000,     0.000,   0.637300,   0.021666,   0.005600,   0.027267,   0.000000,  -0.000000,  -0.218181,   0.000000,   0.000000,   25.0000,    0.6114
    7.500,     0.000,   0.679853,   0.024654,   0.005879,   0.030533,   0.000000,  -0.000000,  -0.229828,  -0.000000,  -0.000000,   25.0000,    0.6030
    8.000,     0.000,   0.724410,   0.027986,   0.006216,   0.034202,   0.000000,  -0.000000,  -0.242679,   0.000000,   0.000000,   25.0000,    0.5968
    8.500,     0.000,   0.768894,   0.031537,   0.006569,   0.038106,   0.000000,  -0.000000,  -0.255498,   0.000000,  -0.000000,   25.0000,    0.5913
    9.000,     0.000,   0.810242,   0.035012,   0.006946,   0.041959,   0.000000,  -0.000000,  -0.266404,   0.000000,   0.000000,   25.0000,    0.5844
    9.500,     0.000,   0.848238,   0.038378,   0.007320,   0.045697,   0.000000,  -0.000000,  -0.275402,   0.000000,  -0.000000,   25.0000,    0.5763
   10.000,     0.000,   0.886045,   0.041904,   0.007689,   0.049593,   0.000000,  -0.000000,  -0.284363,   0.000000,  -0.000000,   25.0000,    0.5687
   10.500,     0.000,   0.923797,   0.045571,   0.008068,   0.053639,   0.000000,  -0.000000,  -0.293364,   0.000000,   0.000000,   25.0000,    0.5618
   11.000,     0.000,   0.961914,   0.049434,   0.008439,   0.057874,   0.000000,  -0.000000,  -0.302591,   0.000000,   0.000000,   25.0000,    0.5556
   11.500,     0.000,   0.999869,   0.053438,   0.008820,   0.062258,   0.000000,  -0.000000,  -0.311775,   0.000000,   0.000000,   25.0000,    0.5497
   12.000,     0.000,   1.037927,   0.057608,   0.009196,   0.066804,   0.000000,  -0.000000,  -0.321027,   0.000000,  -0.000000,   25.0000,    0.5443
   12.500,     0.000,   1.075842,   0.061921,   0.009590,   0.071511,   0.000000,  -0.000000,  -0.330230,   0.000000,  -0.000000,   25.0000,    0.5391
   13.000,     0.000,   1.113609,   0.066367,   0.009985,   0.076353,   0.000000,  -0.000000,  -0.339379,  -0.000000,  -0.000000,   25.0000,    0.5342
   13.500,     0.000,   1.151003,   0.070925,   0.010405,   0.081330,   0.000000,  -0.000000,  -0.348354,   0.000000,   0.000000,   25.0000,    0.5294
   14.000,     0.000,   1.188372,   0.075633,   0.010815,   0.086448,   0.000000,  -0.000000,  -0.357346,   0.000000,  -0.000000,   25.0000,    0.5248
   14.500,     0.000,   1.225363,   0.080435,   0.011254,   0.091689,   0.000000,  -0.000000,  -0.366150,   0.000000,   0.000000,   25.0000,    0.5203
