xflr5 v6.62

Plane name :, AR6.00_TR0.65_TW0.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.000,     0.000,  -0.316587,   0.005374,   0.006691,   0.012065,   0.000000,   0.000000,   0.029209,   0.000000,  -0.000000,   25.0000,    0.1440
   -5.500,     0.000,  -0.274357,   0.004109,   0.006530,   0.010640,   0.000000,   0.000000,   0.018351,   0.000000,   0.000000,   25.0000,    0.0965
   -5.000,     0.000,  -0.233340,   0.002977,   0.006399,   0.009376,   0.000000,   0.000000,   0.007775,   0.000000,   0.000000,   25.0000,    0.0333
   -4.500,     0.000,  -0.192277,   0.002026,   0.006264,   0.008290,   0.000000,   0.000000,  -0.002831,   0.000000,   0.000000,   25.0000,   -0.0572
   -4.000,     0.000,  -0.151214,   0.001258,   0.006143,   0.007401,   0.000000,   0.000000,  -0.013441,   0.000000,   0.000000,   25.0000,   -0.1973
   -3.500,     0.000,  -0.110119,   0.000671,   0.006031,   0.006702,   0.000000,   0.000000,  -0.024071,   0.000000,   0.000000,   25.0000,   -0.4428
   -3.000,     0.000,  -0.068995,   0.000267,   0.005936,   0.006203,   0.000000,   0.000000,  -0.034720,   0.000000,   0.000000,   25.0000,   -0.9845
   -2.500,     0.000,  -0.027900,   0.000046,   0.005839,   0.005885,   0.000000,   0.000000,  -0.045367,   0.000000,  -0.000000,   25.0000,   -3.1860
   -2.000,     0.000,   0.013230,   0.000008,   0.005761,   0.005769,   0.000000,  -0.000000,  -0.056037,   0.000000,  -0.000000,   25.0000,    9.8120
   -1.500,     0.000,   0.054376,   0.000152,   0.005693,   0.005845,   0.000000,  -0.000000,  -0.066720,   0.000000,   0.000000,   25.0000,    2.3068
   -1.000,     0.000,   0.095534,   0.000480,   0.005631,   0.006111,   0.000000,  -0.000000,  -0.077415,   0.000000,   0.000000,   25.0000,    1.5053
   -0.500,     0.000,   0.136690,   0.000991,   0.005575,   0.006566,   0.000000,  -0.000000,  -0.088115,   0.000000,   0.000000,   25.0000,    1.1902
    0.000,     0.000,   0.177825,   0.001684,   0.005514,   0.007198,   0.000000,  -0.000000,  -0.098813,   0.000000,   0.000000,   25.0000,    1.0223
    0.500,     0.000,   0.218887,   0.002559,   0.005462,   0.008021,   0.000000,  -0.000000,  -0.109483,   0.000000,   0.000000,   25.0000,    0.9165
    1.000,     0.000,   0.259886,   0.003614,   0.005368,   0.008982,   0.000000,  -0.000000,  -0.120138,   0.000000,   0.000000,   25.0000,    0.8446
    1.500,     0.000,   0.300806,   0.004849,   0.005256,   0.010105,   0.000000,  -0.000000,  -0.130762,   0.000000,   0.000000,   25.0000,    0.7924
