xflr5 v6.62

Plane name :, AR6.00_TR0.47_TW3.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.342294,   0.006664,   0.006814,   0.013478,   0.000000,   0.000000,   0.033192,   0.000000,   0.000000,   25.0000,    0.1592
   -4.500,     0.000,  -0.299647,   0.005277,   0.006648,   0.011925,   0.000000,   0.000000,   0.022009,   0.000000,   0.000000,   25.0000,    0.1157
   -4.000,     0.000,  -0.258319,   0.004026,   0.006497,   0.010523,   0.000000,   0.000000,   0.011172,   0.000000,  -0.000000,   25.0000,    0.0595
   -3.500,     0.000,  -0.216930,   0.002955,   0.006361,   0.009316,   0.000000,   0.000000,   0.000299,   0.000000,   0.000000,   25.0000,   -0.0185
   -3.000,     0.000,  -0.175536,   0.002066,   0.006236,   0.008303,   0.000000,   0.000000,  -0.010580,   0.000000,   0.000000,   25.0000,   -0.1336
   -2.500,     0.000,  -0.134137,   0.001362,   0.006120,   0.007483,   0.000000,   0.000000,  -0.021470,   0.000000,   0.000000,   25.0000,   -0.3209
   -2.000,     0.000,  -0.092694,   0.000841,   0.006013,   0.006855,   0.000000,   0.000000,  -0.032386,   0.000000,   0.000000,   25.0000,   -0.6804
   -1.500,     0.000,  -0.051224,   0.000504,   0.005917,   0.006421,   0.000000,   0.000000,  -0.043321,   0.000000,   0.000000,   25.0000,   -1.6844
   -1.000,     0.000,  -0.009770,   0.000351,   0.005827,   0.006178,   0.000000,   0.000000,  -0.054257,   0.000000,   0.000000,   25.0000,  -11.5210
   -0.500,     0.000,   0.031703,   0.000383,   0.005752,   0.006135,   0.000000,   0.000000,  -0.065208,   0.000000,   0.000000,   25.0000,    3.9120
    0.000,     0.000,   0.073162,   0.000598,   0.005680,   0.006278,   0.000000,   0.000000,  -0.076158,   0.000000,   0.000000,   25.0000,    1.9642
    0.500,     0.000,   0.114688,   0.000999,   0.005619,   0.006618,   0.000000,  -0.000000,  -0.087147,   0.000000,   0.000000,   25.0000,    1.4030
    1.000,     0.000,   0.156191,   0.001584,   0.005556,   0.007140,   0.000000,  -0.000000,  -0.098136,   0.000000,   0.000000,   25.0000,    1.1553
    1.500,     0.000,   0.197669,   0.002353,   0.005498,   0.007851,   0.000000,  -0.000000,  -0.109112,   0.000000,   0.000000,   25.0000,    1.0118
    2.000,     0.000,   0.239051,   0.003304,   0.005434,   0.008738,   0.000000,   0.000000,  -0.120051,   0.000000,   0.000000,   25.0000,    0.9183
    2.500,     0.000,   0.280301,   0.004435,   0.005321,   0.009756,   0.000000,  -0.000000,  -0.130945,   0.000000,   0.000000,   25.0000,    0.8527
    3.000,     0.000,   0.321525,   0.005747,   0.005230,   0.010978,   0.000000,  -0.000000,  -0.141821,   0.000000,  -0.000000,   25.0000,    0.8038
    3.500,     0.000,   0.362734,   0.007241,   0.005166,   0.012407,   0.000000,  -0.000000,  -0.152668,   0.000000,   0.000000,   25.0000,    0.7658
    4.000,     0.000,   0.403935,   0.008916,   0.005110,   0.014027,   0.000000,   0.000000,  -0.163503,   0.000000,   0.000000,   25.0000,    0.7355
    4.500,     0.000,   0.444971,   0.010766,   0.005084,   0.015850,   0.000000,  -0.000000,  -0.174228,   0.000000,   0.000000,   25.0000,    0.7105
    5.000,     0.000,   0.485643,   0.012777,   0.005083,   0.017860,   0.000000,  -0.000000,  -0.184735,   0.000000,   0.000000,   25.0000,    0.6893
    5.500,     0.000,   0.525837,   0.014939,   0.005115,   0.020054,   0.000000,  -0.000000,  -0.194951,  -0.000000,  -0.000000,   25.0000,    0.6709
    6.000,     0.000,   0.565381,   0.017236,   0.005200,   0.022435,   0.000000,  -0.000000,  -0.204770,   0.000000,   0.000000,   25.0000,    0.6545
    6.500,     0.000,   0.604658,   0.019683,   0.005349,   0.025032,   0.000000,  -0.000000,  -0.214419,   0.000000,   0.000000,   25.0000,    0.6399
    7.000,     0.000,   0.644890,   0.022353,   0.005566,   0.027919,   0.000000,  -0.000000,  -0.224596,  -0.000000,  -0.000000,   25.0000,    0.6276
    7.500,     0.000,   0.686730,   0.025315,   0.005847,   0.031162,   0.000000,  -0.000000,  -0.235735,   0.000000,   0.000000,   25.0000,    0.6179
    8.000,     0.000,   0.730889,   0.028631,   0.006188,   0.034819,   0.000000,  -0.000000,  -0.248296,   0.000000,   0.000000,   25.0000,    0.6108
    8.500,     0.000,   0.777139,   0.032340,   0.006554,   0.038895,   0.000000,  -0.000000,  -0.262150,   0.000000,  -0.000000,   25.0000,    0.6059
    9.000,     0.000,   0.820310,   0.036039,   0.006960,   0.043000,   0.000000,  -0.000000,  -0.274374,  -0.000000,  -0.000000,   25.0000,    0.6001
    9.500,     0.000,   0.859792,   0.039578,   0.007341,   0.046920,   0.000000,  -0.000000,  -0.284421,   0.000000,   0.000000,   25.0000,    0.5925
   10.000,     0.000,   0.897257,   0.043101,   0.007722,   0.050823,   0.000000,  -0.000000,  -0.293312,   0.000000,  -0.000000,   25.0000,    0.5845
   10.500,     0.000,   0.934911,   0.046792,   0.008107,   0.054899,   0.000000,  -0.000000,  -0.302289,   0.000000,   0.000000,   25.0000,    0.5771
   11.000,     0.000,   0.972889,   0.050669,   0.008486,   0.059155,   0.000000,  -0.000000,  -0.311510,   0.000000,  -0.000000,   25.0000,    0.5705
   11.500,     0.000,   1.011001,   0.054714,   0.008868,   0.063582,   0.000000,  -0.000000,  -0.320859,  -0.000000,  -0.000000,   25.0000,    0.5644
   12.000,     0.000,   1.049258,   0.058933,   0.009254,   0.068187,   0.000000,  -0.000000,  -0.330316,   0.000000,   0.000000,   25.0000,    0.5587
   12.500,     0.000,   1.087409,   0.063297,   0.009655,   0.072952,   0.000000,  -0.000000,  -0.339737,  -0.000000,  -0.000000,   25.0000,    0.5534
   13.000,     0.000,   1.125651,   0.067830,   0.010045,   0.077874,   0.000000,  -0.000000,  -0.349219,  -0.000000,  -0.000000,   25.0000,    0.5484
   13.500,     0.000,   1.163627,   0.072488,   0.010458,   0.082946,   0.000000,  -0.000000,  -0.358583,  -0.000000,  -0.000000,   25.0000,    0.5436
   14.000,     0.000,   1.201321,   0.077267,   0.010884,   0.088152,   0.000000,  -0.000000,  -0.367832,   0.000000,   0.000000,   25.0000,    0.5389
   14.500,     0.000,   1.238808,   0.082163,   0.011302,   0.093465,   0.000000,  -0.000000,  -0.377000,   0.000000,  -0.000000,   25.0000,    0.5344
   15.000,     0.000,   1.275563,   0.087117,   0.011776,   0.098893,   0.000000,  -0.000000,  -0.385833,  -0.000000,  -0.000000,   25.0000,    0.5299
   15.500,     0.000,   1.311907,   0.092162,   0.012264,   0.104426,   0.000000,  -0.000000,  -0.394482,   0.000000,   0.000000,   25.0000,    0.5254
   16.000,     0.000,   1.348102,   0.097322,   0.012739,   0.110062,   0.000000,  -0.000000,  -0.403085,  -0.000000,  -0.000000,   25.0000,    0.5211
   16.500,     0.000,   1.383560,   0.102525,   0.013249,   0.115774,   0.000000,  -0.000000,  -0.411363,  -0.000000,  -0.000000,   25.0000,    0.5168
   17.000,     0.000,   1.417844,   0.107693,   0.013831,   0.121524,   0.000000,  -0.000000,  -0.419090,   0.000000,   0.000000,   25.0000,    0.5124
   17.500,     0.000,   1.450923,   0.112813,   0.014465,   0.127278,   0.000000,   0.000000,  -0.426257,  -0.000000,  -0.000000,   25.0000,    0.5077
   18.000,     0.000,   1.482796,   0.117864,   0.015095,   0.132959,   0.000000,  -0.000000,  -0.432884,  -0.000000,  -0.000000,   25.0000,    0.5030
   18.500,     0.000,   1.512893,   0.122770,   0.015754,   0.138523,   0.000000,  -0.000000,  -0.438714,   0.000000,   0.000000,   25.0000,    0.4979
   19.000,     0.000,   1.541353,   0.127520,   0.016469,   0.143989,   0.000000,  -0.000000,  -0.443833,   0.000000,   0.000000,   25.0000,    0.4927
   19.500,     0.000,   1.567806,   0.132034,   0.017316,   0.149350,   0.000000,  -0.000000,  -0.448142,   0.000000,   0.000000,   25.0000,    0.4873
   20.000,     0.000,   1.592589,   0.136328,   0.018320,   0.154649,   0.000000,  -0.000000,  -0.451899,   0.000000,   0.000000,   25.0000,    0.4818


