xflr5 v6.62

Plane name :, AR6.00_TR0.47_TW0.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.000,     0.000,  -0.319167,   0.005420,   0.006699,   0.012118,   0.000000,  -0.000000,   0.031267,   0.000000,   0.000000,   25.0000,    0.1494
   -5.500,     0.000,  -0.276669,   0.004141,   0.006535,   0.010676,   0.000000,   0.000000,   0.020133,   0.000000,  -0.000000,   25.0000,    0.1009
   -5.000,     0.000,  -0.235257,   0.003000,   0.006404,   0.009404,   0.000000,   0.000000,   0.009261,   0.000000,  -0.000000,   25.0000,    0.0364
   -4.500,     0.000,  -0.193878,   0.002042,   0.006265,   0.008307,   0.000000,   0.000000,  -0.001609,   0.000000,   0.000000,   25.0000,   -0.0559
   -4.000,     0.000,  -0.152464,   0.001268,   0.006146,   0.007414,   0.000000,   0.000000,  -0.012502,   0.000000,   0.000000,   25.0000,   -0.1988
   -3.500,     0.000,  -0.111030,   0.000677,   0.006038,   0.006714,   0.000000,   0.000000,  -0.023405,   0.000000,   0.000000,   25.0000,   -0.4494
   -3.000,     0.000,  -0.069578,   0.000269,   0.005939,   0.006209,   0.000000,  -0.000000,  -0.034326,   0.000000,  -0.000000,   25.0000,   -1.0008
   -2.500,     0.000,  -0.028151,   0.000047,   0.005842,   0.005889,   0.000000,   0.000000,  -0.045245,   0.000000,   0.000000,   25.0000,   -3.2213
   -2.000,     0.000,   0.013337,   0.000008,   0.005763,   0.005770,   0.000000,  -0.000000,  -0.056201,   0.000000,   0.000000,   25.0000,   10.1780
   -1.500,     0.000,   0.054822,   0.000153,   0.005692,   0.005845,   0.000000,  -0.000000,  -0.067161,   0.000000,   0.000000,   25.0000,    2.3548
   -1.000,     0.000,   0.096326,   0.000483,   0.005629,   0.006113,   0.000000,  -0.000000,  -0.078137,   0.000000,   0.000000,   25.0000,    1.5373
   -0.500,     0.000,   0.137813,   0.000998,   0.005572,   0.006570,   0.000000,  -0.000000,  -0.089110,   0.000000,  -0.000000,   25.0000,    1.2164
    0.000,     0.000,   0.179267,   0.001696,   0.005513,   0.007209,   0.000000,  -0.000000,  -0.100074,   0.000000,   0.000000,   25.0000,    1.0451
    0.500,     0.000,   0.220670,   0.002578,   0.005455,   0.008033,   0.000000,  -0.000000,  -0.111028,   0.000000,  -0.000000,   25.0000,    0.9372
    1.000,     0.000,   0.262009,   0.003641,   0.005361,   0.009002,   0.000000,  -0.000000,  -0.121967,   0.000000,   0.000000,   25.0000,    0.8641
    1.500,     0.000,   0.303288,   0.004886,   0.005262,   0.010148,   0.000000,  -0.000000,  -0.132873,   0.000000,  -0.000000,   25.0000,    0.8108
    2.000,     0.000,   0.344479,   0.006310,   0.005178,   0.011488,   0.000000,  -0.000000,  -0.143723,   0.000000,   0.000000,   25.0000,    0.7701
    2.500,     0.000,   0.385654,   0.007915,   0.005120,   0.013036,   0.000000,   0.000000,  -0.154556,   0.000000,  -0.000000,   25.0000,    0.7379
    3.000,     0.000,   0.426793,   0.009700,   0.005080,   0.014780,   0.000000,  -0.000000,  -0.165350,  -0.000000,  -0.000000,   25.0000,    0.7118
    3.500,     0.000,   0.467630,   0.011657,   0.005054,   0.016711,   0.000000,  -0.000000,  -0.175986,   0.000000,   0.000000,   25.0000,    0.6900
    4.000,     0.000,   0.508094,   0.013765,   0.005069,   0.018834,   0.000000,  -0.000000,  -0.186387,   0.000000,   0.000000,   25.0000,    0.6712
    4.500,     0.000,   0.548028,   0.016027,   0.005134,   0.021161,   0.000000,  -0.000000,  -0.196502,   0.000000,   0.000000,   25.0000,    0.6548
    5.000,     0.000,   0.587799,   0.018441,   0.005259,   0.023700,   0.000000,  -0.000000,  -0.206451,   0.000000,   0.000000,   25.0000,    0.6402
    5.500,     0.000,   0.627867,   0.021049,   0.005438,   0.026488,   0.000000,  -0.000000,  -0.216512,   0.000000,  -0.000000,   25.0000,    0.6275
