xflr5 v6.62

Plane name :, AR6.00_TR1.00_TW4.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.374593,   0.009242,   0.006928,   0.016169,   0.000000,   0.000000,   0.040780,   0.000000,   0.000000,   25.0000,    0.1843
   -4.500,     0.000,  -0.333324,   0.007616,   0.006745,   0.014361,   0.000000,   0.000000,   0.030556,   0.000000,   0.000000,   25.0000,    0.1527
   -4.000,     0.000,  -0.293201,   0.006119,   0.006595,   0.012714,   0.000000,   0.000000,   0.020595,   0.000000,   0.000000,   25.0000,    0.1131
   -3.500,     0.000,  -0.253092,   0.004804,   0.006449,   0.011253,   0.000000,   0.000000,   0.010648,   0.000000,   0.000000,   25.0000,    0.0610
   -3.000,     0.000,  -0.212863,   0.003664,   0.006321,   0.009984,   0.000000,   0.000000,   0.000636,   0.000000,   0.000000,   25.0000,   -0.0115
   -2.500,     0.000,  -0.172658,   0.002704,   0.006195,   0.008899,   0.000000,   0.000000,  -0.009371,   0.000000,   0.000000,   25.0000,   -0.1182
   -2.000,     0.000,  -0.132420,   0.001923,   0.006093,   0.008017,   0.000000,   0.000000,  -0.019393,   0.000000,   0.000000,   25.0000,   -0.2905
   -1.500,     0.000,  -0.092179,   0.001323,   0.005986,   0.007309,   0.000000,   0.000000,  -0.029430,   0.000000,   0.000000,   25.0000,   -0.6378
   -1.000,     0.000,  -0.051897,   0.000901,   0.005892,   0.006793,   0.000000,   0.000000,  -0.039492,   0.000000,   0.000000,   25.0000,   -1.4959
   -0.500,     0.000,  -0.011601,   0.000660,   0.005815,   0.006475,   0.000000,   0.000000,  -0.049565,   0.000000,   0.000000,   25.0000,   -8.4368
    0.000,     0.000,   0.028688,   0.000600,   0.005740,   0.006340,   0.000000,   0.000000,  -0.059642,   0.000000,   0.000000,   25.0000,    3.4478
    0.500,     0.000,   0.068975,   0.000719,   0.005666,   0.006385,   0.000000,   0.000000,  -0.069729,   0.000000,   0.000000,   25.0000,    1.9765
    1.000,     0.000,   0.109276,   0.001019,   0.005606,   0.006625,   0.000000,  -0.000000,  -0.079825,   0.000000,   0.000000,   25.0000,    1.3051
    1.500,     0.000,   0.149568,   0.001498,   0.005544,   0.007042,   0.000000,  -0.000000,  -0.089925,   0.000000,   0.000000,   25.0000,    1.1099
    2.000,     0.000,   0.189764,   0.002155,   0.005470,   0.007626,   0.000000,  -0.000000,  -0.099992,   0.000000,   0.000000,   25.0000,    0.9659
    2.500,     0.000,   0.229917,   0.002991,   0.005394,   0.008386,   0.000000,  -0.000000,  -0.110042,   0.000000,  -0.000000,   25.0000,    0.8750
    3.000,     0.000,   0.270029,   0.004006,   0.005321,   0.009327,   0.000000,  -0.000000,  -0.120072,   0.000000,  -0.000000,   25.0000,    0.8113
    3.500,     0.000,   0.310111,   0.005198,   0.005253,   0.010452,   0.000000,  -0.000000,  -0.130081,   0.000000,  -0.000000,   25.0000,    0.7642
    4.000,     0.000,   0.350093,   0.006566,   0.005198,   0.011763,   0.000000,  -0.000000,  -0.140029,   0.000000,  -0.000000,   25.0000,    0.7277
    4.500,     0.000,   0.389907,   0.008102,   0.005153,   0.013255,   0.000000,  -0.000000,  -0.149877,   0.000000,  -0.000000,   25.0000,    0.6984
    5.000,     0.000,   0.429340,   0.009798,   0.005139,   0.014937,   0.000000,  -0.000000,  -0.159515,   0.000000,  -0.000000,   25.0000,    0.6742
    5.500,     0.000,   0.468306,   0.011644,   0.005166,   0.016811,   0.000000,  -0.000000,  -0.168891,   0.000000,   0.000000,   25.0000,    0.6536
    6.000,     0.000,   0.507232,   0.013660,   0.005230,   0.018891,   0.000000,  -0.000000,  -0.178232,   0.000000,   0.000000,   25.0000,    0.6360
    6.500,     0.000,   0.546670,   0.015884,   0.005356,   0.021240,   0.000000,  -0.000000,  -0.187872,  -0.000000,  -0.000000,   25.0000,    0.6213
    7.000,     0.000,   0.587299,   0.018352,   0.005528,   0.023880,   0.000000,  -0.000000,  -0.198155,  -0.000000,  -0.000000,   25.0000,    0.6093
    7.500,     0.000,   0.629081,   0.021076,   0.005761,   0.026837,   0.000000,  -0.000000,  -0.209092,   0.000000,  -0.000000,   25.0000,    0.5995
    8.000,     0.000,   0.670987,   0.024018,   0.006023,   0.030041,   0.000000,  -0.000000,  -0.220173,  -0.000000,  -0.000000,   25.0000,    0.5911
    8.500,     0.000,   0.711235,   0.026980,   0.006324,   0.033303,   0.000000,  -0.000000,  -0.230346,   0.000000,   0.000000,   25.0000,    0.5826
    9.000,     0.000,   0.750453,   0.030057,   0.006636,   0.036692,   0.000000,  -0.000000,  -0.240042,   0.000000,  -0.000000,   25.0000,    0.5747
    9.500,     0.000,   0.788800,   0.033251,   0.006971,   0.040223,   0.000000,  -0.000000,  -0.249303,   0.000000,   0.000000,   25.0000,    0.5670
   10.000,     0.000,   0.827299,   0.036621,   0.007316,   0.043937,   0.000000,  -0.000000,  -0.258656,   0.000000,   0.000000,   25.0000,    0.5601
   10.500,     0.000,   0.865144,   0.040100,   0.007660,   0.047760,   0.000000,  -0.000000,  -0.267664,   0.000000,   0.000000,   25.0000,    0.5533
   11.000,     0.000,   0.903034,   0.043754,   0.008016,   0.051769,   0.000000,  -0.000000,  -0.276723,  -0.000000,  -0.000000,   25.0000,    0.5472
   11.500,     0.000,   0.940430,   0.047516,   0.008385,   0.055901,   0.000000,  -0.000000,  -0.285529,   0.000000,   0.000000,   25.0000,    0.5412
   12.000,     0.000,   0.977894,   0.051445,   0.008743,   0.060188,   0.000000,  -0.000000,  -0.294382,   0.000000,   0.000000,   25.0000,    0.5357
   12.500,     0.000,   1.015363,   0.055532,   0.009129,   0.064661,   0.000000,  -0.000000,  -0.303284,   0.000000,   0.000000,   25.0000,    0.5306
   13.000,     0.000,   1.052257,   0.059707,   0.009516,   0.069224,   0.000000,  -0.000000,  -0.311877,   0.000000,   0.000000,   25.0000,    0.5255
   13.500,     0.000,   1.089040,   0.064028,   0.009906,   0.073934,   0.000000,  -0.000000,  -0.320447,   0.000000,   0.000000,   25.0000,    0.5206
   14.000,     0.000,   1.125489,   0.068469,   0.010318,   0.078786,   0.000000,  -0.000000,  -0.328897,   0.000000,   0.000000,   25.0000,    0.5160
   14.500,     0.000,   1.161594,   0.073034,   0.010752,   0.083786,   0.000000,  -0.000000,  -0.337216,   0.000000,   0.000000,   25.0000,    0.5115
   15.000,     0.000,   1.197653,   0.077725,   0.011179,   0.088904,   0.000000,  -0.000000,  -0.345527,  -0.000000,  -0.000000,   25.0000,    0.5072
   15.500,     0.000,   1.232757,   0.082438,   0.011649,   0.094086,   0.000000,  -0.000000,  -0.353377,   0.000000,   0.000000,   25.0000,    0.5028
   16.000,     0.000,   1.267098,   0.087200,   0.012139,   0.099339,   0.000000,  -0.000000,  -0.360901,   0.000000,   0.000000,   25.0000,    0.4984
   16.500,     0.000,   1.300249,   0.091951,   0.012686,   0.104637,   0.000000,  -0.000000,  -0.367922,  -0.000000,  -0.000000,   25.0000,    0.4939
   17.000,     0.000,   1.332363,   0.096701,   0.013239,   0.109940,   0.000000,  -0.000000,  -0.374483,   0.000000,   0.000000,   25.0000,    0.4893
   17.500,     0.000,   1.363481,   0.101439,   0.013817,   0.115256,   0.000000,  -0.000000,  -0.380649,   0.000000,   0.000000,   25.0000,    0.4847
   18.000,     0.000,   1.393323,   0.106155,   0.014454,   0.120610,   0.000000,  -0.000000,  -0.386366,   0.000000,   0.000000,   25.0000,    0.4800
   18.500,     0.000,   1.421791,   0.110773,   0.015188,   0.125961,   0.000000,  -0.000000,  -0.391586,   0.000000,   0.000000,   25.0000,    0.4753


