xflr5 v6.62

Plane name :, AR6.00_TR0.47_TW1.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.000,     0.000,  -0.354396,   0.006756,   0.006837,   0.013593,   0.000000,   0.000000,   0.039123,   0.000000,   0.000000,   25.0000,    0.1770
   -5.500,     0.000,  -0.311822,   0.005320,   0.006680,   0.012001,   0.000000,   0.000000,   0.027953,   0.000000,   0.000000,   25.0000,    0.1377
   -5.000,     0.000,  -0.270559,   0.004024,   0.006519,   0.010543,   0.000000,   0.000000,   0.017151,   0.000000,  -0.000000,   25.0000,    0.0878
   -4.500,     0.000,  -0.229160,   0.002905,   0.006388,   0.009293,   0.000000,   0.000000,   0.006283,   0.000000,   0.000000,   25.0000,    0.0192
   -4.000,     0.000,  -0.187759,   0.001971,   0.006257,   0.008228,   0.000000,   0.000000,  -0.004601,   0.000000,   0.000000,   25.0000,   -0.0800
   -3.500,     0.000,  -0.146355,   0.001219,   0.006133,   0.007352,   0.000000,   0.000000,  -0.015487,   0.000000,   0.000000,   25.0000,   -0.2359
   -3.000,     0.000,  -0.104892,   0.000651,   0.006028,   0.006680,   0.000000,   0.000000,  -0.026409,   0.000000,  -0.000000,   25.0000,   -0.5171
   -2.500,     0.000,  -0.063440,   0.000268,   0.005933,   0.006201,   0.000000,   0.000000,  -0.037333,   0.000000,   0.000000,   25.0000,   -1.1699
   -2.000,     0.000,  -0.022000,   0.000068,   0.005844,   0.005912,   0.000000,   0.000000,  -0.048261,   0.000000,   0.000000,   25.0000,   -4.0336
   -1.500,     0.000,   0.019443,   0.000053,   0.005763,   0.005816,   0.000000,   0.000000,  -0.059196,   0.000000,   0.000000,   25.0000,    5.6930
   -1.000,     0.000,   0.060940,   0.000222,   0.005696,   0.005917,   0.000000,  -0.000000,  -0.070159,   0.000000,   0.000000,   25.0000,    2.1871
   -0.500,     0.000,   0.102391,   0.000574,   0.005623,   0.006198,   0.000000,  -0.000000,  -0.081111,   0.000000,   0.000000,   25.0000,    1.4866
    0.000,     0.000,   0.143939,   0.001113,   0.005566,   0.006679,   0.000000,  -0.000000,  -0.092116,   0.000000,   0.000000,   25.0000,    1.1942
    0.500,     0.000,   0.185450,   0.001836,   0.005508,   0.007345,   0.000000,  -0.000000,  -0.103111,   0.000000,  -0.000000,   25.0000,    1.0328
    1.000,     0.000,   0.226822,   0.002741,   0.005442,   0.008183,   0.000000,  -0.000000,  -0.114050,   0.000000,  -0.000000,   25.0000,    0.9307
    1.500,     0.000,   0.268087,   0.003826,   0.005359,   0.009185,   0.000000,  -0.000000,  -0.124947,   0.000000,   0.000000,   25.0000,    0.8601
    2.000,     0.000,   0.309358,   0.005093,   0.005249,   0.010343,   0.000000,  -0.000000,  -0.135852,   0.000000,  -0.000000,   25.0000,    0.8084
    2.500,     0.000,   0.350600,   0.006542,   0.005165,   0.011707,   0.000000,  -0.000000,  -0.146728,   0.000000,   0.000000,   25.0000,    0.7687
    3.000,     0.000,   0.391751,   0.008170,   0.005117,   0.013287,   0.000000,  -0.000000,  -0.157541,   0.000000,  -0.000000,   25.0000,    0.7371
    3.500,     0.000,   0.432847,   0.009977,   0.005082,   0.015058,   0.000000,  -0.000000,  -0.168311,   0.000000,   0.000000,   25.0000,    0.7114
    4.000,     0.000,   0.473703,   0.011952,   0.005061,   0.017014,   0.000000,  -0.000000,  -0.178935,   0.000000,   0.000000,   25.0000,    0.6898
    4.500,     0.000,   0.514073,   0.014082,   0.005080,   0.019162,   0.000000,  -0.000000,  -0.189284,   0.000000,   0.000000,   25.0000,    0.6712
    5.000,     0.000,   0.553845,   0.016358,   0.005150,   0.021507,   0.000000,  -0.000000,  -0.199294,   0.000000,   0.000000,   25.0000,    0.6548
    5.500,     0.000,   0.593470,   0.018782,   0.005281,   0.024063,   0.000000,   0.000000,  -0.209141,   0.000000,   0.000000,   25.0000,    0.6402
    6.000,     0.000,   0.633497,   0.021400,   0.005471,   0.026871,   0.000000,  -0.000000,  -0.219172,   0.000000,   0.000000,   25.0000,    0.6275
    6.500,     0.000,   0.674713,   0.024276,   0.005731,   0.030007,   0.000000,  -0.000000,  -0.229858,   0.000000,   0.000000,   25.0000,    0.6170
    7.000,     0.000,   0.718458,   0.027522,   0.006046,   0.033569,   0.000000,  -0.000000,  -0.241980,   0.000000,   0.000000,   25.0000,    0.6093
    7.500,     0.000,   0.763226,   0.031052,   0.006422,   0.037474,   0.000000,  -0.000000,  -0.254846,  -0.000000,  -0.000000,   25.0000,    0.6033
    8.000,     0.000,   0.807875,   0.034811,   0.006806,   0.041616,   0.000000,  -0.000000,  -0.267863,   0.000000,   0.000000,   25.0000,    0.5982
    8.500,     0.000,   0.848108,   0.038390,   0.007220,   0.045610,   0.000000,  -0.000000,  -0.278636,   0.000000,   0.000000,   25.0000,    0.5916
    9.000,     0.000,   0.886598,   0.041974,   0.007610,   0.049584,   0.000000,  -0.000000,  -0.288272,  -0.000000,  -0.000000,   25.0000,    0.5844
    9.500,     0.000,   0.924202,   0.045634,   0.008001,   0.053636,   0.000000,  -0.000000,  -0.297353,   0.000000,   0.000000,   25.0000,    0.5772
   10.000,     0.000,   0.961818,   0.049437,   0.008386,   0.057823,   0.000000,  -0.000000,  -0.306367,  -0.000000,  -0.000000,   25.0000,    0.5703
