xflr5 v6.62

Plane name :, AR6.00_TR0.47_TW2.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.500,     0.000,  -0.348311,   0.006670,   0.006826,   0.013497,   0.000000,   0.000000,   0.036146,   0.000000,   0.000000,   25.0000,    0.1682
   -5.000,     0.000,  -0.305761,   0.005260,   0.006661,   0.011921,   0.000000,   0.000000,   0.024995,   0.000000,   0.000000,   25.0000,    0.1270
   -4.500,     0.000,  -0.264417,   0.003984,   0.006510,   0.010494,   0.000000,   0.000000,   0.014153,   0.000000,   0.000000,   25.0000,    0.0739
   -4.000,     0.000,  -0.223065,   0.002891,   0.006370,   0.009261,   0.000000,   0.000000,   0.003298,   0.000000,   0.000000,   25.0000,    0.0010
   -3.500,     0.000,  -0.181631,   0.001978,   0.006246,   0.008224,   0.000000,   0.000000,  -0.007597,   0.000000,   0.000000,   25.0000,   -0.1059
   -3.000,     0.000,  -0.140226,   0.001251,   0.006129,   0.007380,   0.000000,   0.000000,  -0.018487,   0.000000,   0.000000,   25.0000,   -0.2762
   -2.500,     0.000,  -0.098803,   0.000706,   0.006023,   0.006730,   0.000000,   0.000000,  -0.029393,   0.000000,   0.000000,   25.0000,   -0.5927
   -2.000,     0.000,  -0.057384,   0.000346,   0.005925,   0.006271,   0.000000,   0.000000,  -0.040302,   0.000000,   0.000000,   25.0000,   -1.3747
   -1.500,     0.000,  -0.015904,   0.000170,   0.005836,   0.006006,   0.000000,   0.000000,  -0.051249,   0.000000,   0.000000,   25.0000,   -5.3933
   -1.000,     0.000,   0.025572,   0.000178,   0.005755,   0.005932,   0.000000,  -0.000000,  -0.062200,   0.000000,   0.000000,   25.0000,    4.7887
   -0.500,     0.000,   0.067071,   0.000370,   0.005684,   0.006054,   0.000000,  -0.000000,  -0.073171,   0.000000,   0.000000,   25.0000,    2.0193
    0.000,     0.000,   0.108573,   0.000747,   0.005623,   0.006370,   0.000000,   0.000000,  -0.084148,   0.000000,   0.000000,   25.0000,    1.4421
    0.500,     0.000,   0.150033,   0.001308,   0.005561,   0.006869,   0.000000,  -0.000000,  -0.095109,   0.000000,   0.000000,   25.0000,    1.1737
    1.000,     0.000,   0.191532,   0.002054,   0.005507,   0.007561,   0.000000,  -0.000000,  -0.106095,   0.000000,   0.000000,   25.0000,    1.0220
    1.500,     0.000,   0.232979,   0.002983,   0.005435,   0.008418,   0.000000,  -0.000000,  -0.117071,   0.000000,   0.000000,   25.0000,    0.9244
    2.000,     0.000,   0.274243,   0.004092,   0.005340,   0.009432,   0.000000,  -0.000000,  -0.127972,   0.000000,   0.000000,   25.0000,    0.8563
    2.500,     0.000,   0.315401,   0.005379,   0.005247,   0.010626,   0.000000,  -0.000000,  -0.138815,   0.000000,   0.000000,   25.0000,    0.8060
    3.000,     0.000,   0.356666,   0.006852,   0.005159,   0.012011,   0.000000,  -0.000000,  -0.149702,   0.000000,  -0.000000,   25.0000,    0.7672
    3.500,     0.000,   0.397900,   0.008506,   0.005108,   0.013614,   0.000000,  -0.000000,  -0.160552,   0.000000,  -0.000000,   25.0000,    0.7363
    4.000,     0.000,   0.438911,   0.010332,   0.005084,   0.015417,   0.000000,  -0.000000,  -0.171273,   0.000000,   0.000000,   25.0000,    0.7109
    4.500,     0.000,   0.479653,   0.012325,   0.005074,   0.017399,   0.000000,  -0.000000,  -0.181829,   0.000000,   0.000000,   25.0000,    0.6896
    5.000,     0.000,   0.519986,   0.014474,   0.005101,   0.019575,   0.000000,  -0.000000,  -0.192142,   0.000000,   0.000000,   25.0000,    0.6711
    5.500,     0.000,   0.559662,   0.016765,   0.005171,   0.021935,   0.000000,   0.000000,  -0.202073,   0.000000,   0.000000,   25.0000,    0.6547
    6.000,     0.000,   0.599086,   0.019197,   0.005306,   0.024503,   0.000000,  -0.000000,  -0.211796,   0.000000,  -0.000000,   25.0000,    0.6401
    6.500,     0.000,   0.639189,   0.021841,   0.005516,   0.027357,   0.000000,   0.000000,  -0.221895,   0.000000,   0.000000,   25.0000,    0.6276
    7.000,     0.000,   0.680532,   0.024746,   0.005783,   0.030528,   0.000000,  -0.000000,  -0.232670,  -0.000000,  -0.000000,   25.0000,    0.6173
    7.500,     0.000,   0.724479,   0.028021,   0.006108,   0.034130,   0.000000,  -0.000000,  -0.245012,  -0.000000,  -0.000000,   25.0000,    0.6099
    8.000,     0.000,   0.769963,   0.031639,   0.006490,   0.038129,   0.000000,  -0.000000,  -0.258345,   0.000000,   0.000000,   25.0000,    0.6044
    8.500,     0.000,   0.814187,   0.035389,   0.006878,   0.042266,   0.000000,  -0.000000,  -0.271170,   0.000000,   0.000000,   25.0000,    0.5992
    9.000,     0.000,   0.854312,   0.038974,   0.007277,   0.046251,   0.000000,  -0.000000,  -0.281761,   0.000000,   0.000000,   25.0000,    0.5923
    9.500,     0.000,   0.892148,   0.042524,   0.007663,   0.050187,   0.000000,  -0.000000,  -0.290950,  -0.000000,  -0.000000,   25.0000,    0.5846
   10.000,     0.000,   0.929632,   0.046188,   0.008055,   0.054243,   0.000000,  -0.000000,  -0.299852,  -0.000000,  -0.000000,   25.0000,    0.5772
   10.500,     0.000,   0.967224,   0.050004,   0.008444,   0.058448,   0.000000,  -0.000000,  -0.308862,   0.000000,   0.000000,   25.0000,    0.5703
   11.000,     0.000,   1.005428,   0.054038,   0.008815,   0.062853,   0.000000,  -0.000000,  -0.318232,   0.000000,   0.000000,   25.0000,    0.5642
   11.500,     0.000,   1.043628,   0.058232,   0.009203,   0.067435,   0.000000,  -0.000000,  -0.327650,   0.000000,   0.000000,   25.0000,    0.5585
   12.000,     0.000,   1.081829,   0.062582,   0.009601,   0.072183,   0.000000,  -0.000000,  -0.337089,   0.000000,   0.000000,   25.0000,    0.5532
   12.500,     0.000,   1.120064,   0.067097,   0.009995,   0.077092,   0.000000,  -0.000000,  -0.346569,  -0.000000,  -0.000000,   25.0000,    0.5482
   13.000,     0.000,   1.158180,   0.071753,   0.010396,   0.082148,   0.000000,   0.000000,  -0.355994,   0.000000,   0.000000,   25.0000,    0.5434
   13.500,     0.000,   1.195704,   0.076489,   0.010834,   0.087324,   0.000000,  -0.000000,  -0.365171,   0.000000,   0.000000,   25.0000,    0.5387
   14.000,     0.000,   1.233322,   0.081382,   0.011242,   0.092624,   0.000000,  -0.000000,  -0.374405,   0.000000,   0.000000,   25.0000,    0.5342
   14.500,     0.000,   1.270236,   0.086339,   0.011702,   0.098041,   0.000000,  -0.000000,  -0.383323,   0.000000,   0.000000,   25.0000,    0.5298
   15.000,     0.000,   1.306506,   0.091358,   0.012205,   0.103563,   0.000000,  -0.000000,  -0.391948,   0.000000,   0.000000,   25.0000,    0.5253
   15.500,     0.000,   1.342807,   0.096517,   0.012675,   0.109192,   0.000000,  -0.000000,  -0.400612,   0.000000,  -0.000000,   25.0000,    0.5211
   16.000,     0.000,   1.378447,   0.101729,   0.013175,   0.114904,   0.000000,  -0.000000,  -0.408982,  -0.000000,  -0.000000,   25.0000,    0.5168
   16.500,     0.000,   1.413007,   0.106926,   0.013736,   0.120663,   0.000000,  -0.000000,  -0.416870,   0.000000,   0.000000,   25.0000,    0.5125
   17.000,     0.000,   1.446277,   0.112064,   0.014364,   0.126428,   0.000000,  -0.000000,  -0.424157,   0.000000,   0.000000,   25.0000,    0.5079
   17.500,     0.000,   1.478138,   0.117105,   0.015014,   0.132119,   0.000000,  -0.000000,  -0.430823,  -0.000000,  -0.000000,   25.0000,    0.5032
   18.000,     0.000,   1.508619,   0.122061,   0.015655,   0.137717,   0.000000,  -0.000000,  -0.436867,   0.000000,  -0.000000,   25.0000,    0.4983
   18.500,     0.000,   1.537416,   0.126860,   0.016370,   0.143230,   0.000000,  -0.000000,  -0.442204,   0.000000,   0.000000,   25.0000,    0.4932
   19.000,     0.000,   1.564200,   0.131414,   0.017199,   0.148613,   0.000000,  -0.000000,  -0.446723,  -0.000000,  -0.000000,   25.0000,    0.4878
   19.500,     0.000,   1.589408,   0.135784,   0.018160,   0.153944,   0.000000,  -0.000000,  -0.450670,  -0.000000,  -0.000000,   25.0000,    0.4825


