xflr5 v6.62

Plane name :, AR6.00_TR1.00_TW3.00
Polar name :, T1-25.0 m/s-LLT
Freestream speed :, 25.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.500,     0.000,  -0.378511,   0.008919,   0.006945,   0.015864,   0.000000,   0.000000,   0.041744,   0.000000,   0.000000,   25.0000,    0.1869
   -5.000,     0.000,  -0.337244,   0.007305,   0.006759,   0.014064,   0.000000,   0.000000,   0.031531,   0.000000,   0.000000,   25.0000,    0.1561
   -4.500,     0.000,  -0.297082,   0.005811,   0.006607,   0.012418,   0.000000,   0.000000,   0.021550,   0.000000,   0.000000,   25.0000,    0.1174
   -4.000,     0.000,  -0.257028,   0.004504,   0.006460,   0.010963,   0.000000,   0.000000,   0.011630,   0.000000,   0.000000,   25.0000,    0.0669
   -3.500,     0.000,  -0.216796,   0.003369,   0.006334,   0.009703,   0.000000,   0.000000,   0.001622,   0.000000,   0.000000,   25.0000,   -0.0032
   -3.000,     0.000,  -0.176575,   0.002415,   0.006209,   0.008624,   0.000000,   0.000000,  -0.008392,   0.000000,   0.000000,   25.0000,   -0.1054
   -2.500,     0.000,  -0.136346,   0.001640,   0.006095,   0.007735,   0.000000,   0.000000,  -0.018414,   0.000000,   0.000000,   25.0000,   -0.2687
   -2.000,     0.000,  -0.096101,   0.001045,   0.005997,   0.007042,   0.000000,   0.000000,  -0.028448,   0.000000,   0.000000,   25.0000,   -0.5717
   -1.500,     0.000,  -0.055839,   0.000629,   0.005905,   0.006534,   0.000000,   0.000000,  -0.038499,   0.000000,   0.000000,   25.0000,   -1.4081
   -1.000,     0.000,  -0.015557,   0.000394,   0.005814,   0.006208,   0.000000,   0.000000,  -0.048569,   0.000000,   0.000000,   25.0000,   -6.3285
   -0.500,     0.000,   0.024736,   0.000338,   0.005739,   0.006078,   0.000000,   0.000000,  -0.058649,   0.000000,   0.000000,   25.0000,    4.1174
    0.000,     0.000,   0.065051,   0.000464,   0.005678,   0.006142,   0.000000,   0.000000,  -0.068742,   0.000000,   0.000000,   25.0000,    1.9506
    0.500,     0.000,   0.105339,   0.000769,   0.005609,   0.006378,   0.000000,   0.000000,  -0.078835,   0.000000,   0.000000,   25.0000,    1.3881
    1.000,     0.000,   0.145646,   0.001255,   0.005552,   0.006807,   0.000000,  -0.000000,  -0.088939,   0.000000,  -0.000000,   25.0000,    1.1222
    1.500,     0.000,   0.185867,   0.001919,   0.005483,   0.007402,   0.000000,  -0.000000,  -0.099016,   0.000000,   0.000000,   25.0000,    0.9758
    2.000,     0.000,   0.226033,   0.002762,   0.005403,   0.008164,   0.000000,  -0.000000,  -0.109075,   0.000000,  -0.000000,   25.0000,    0.8823
    2.500,     0.000,   0.266156,   0.003783,   0.005323,   0.009106,   0.000000,  -0.000000,  -0.119113,   0.000000,  -0.000000,   25.0000,    0.8168
    3.000,     0.000,   0.306236,   0.004982,   0.005253,   0.010235,   0.000000,  -0.000000,  -0.129125,   0.000000,   0.000000,   25.0000,    0.7683
    3.500,     0.000,   0.346273,   0.006357,   0.005195,   0.011553,   0.000000,  -0.000000,  -0.139106,   0.000000,   0.000000,   25.0000,    0.7310
    4.000,     0.000,   0.386145,   0.007904,   0.005148,   0.013052,   0.000000,  -0.000000,  -0.148990,   0.000000,   0.000000,   25.0000,    0.7012
    4.500,     0.000,   0.425780,   0.009618,   0.005118,   0.014735,   0.000000,  -0.000000,  -0.158735,   0.000000,   0.000000,   25.0000,    0.6767
    5.000,     0.000,   0.464920,   0.011482,   0.005129,   0.016611,   0.000000,  -0.000000,  -0.168206,   0.000000,  -0.000000,   25.0000,    0.6559
    5.500,     0.000,   0.503652,   0.013497,   0.005191,   0.018688,   0.000000,  -0.000000,  -0.177444,   0.000000,   0.000000,   25.0000,    0.6379
    6.000,     0.000,   0.542716,   0.015702,   0.005289,   0.020991,   0.000000,  -0.000000,  -0.186855,   0.000000,   0.000000,   25.0000,    0.6226
    6.500,     0.000,   0.582478,   0.018123,   0.005454,   0.023578,   0.000000,  -0.000000,  -0.196673,   0.000000,   0.000000,   25.0000,    0.6098
    7.000,     0.000,   0.623960,   0.020822,   0.005670,   0.026492,   0.000000,  -0.000000,  -0.207427,   0.000000,   0.000000,   25.0000,    0.5997
    7.500,     0.000,   0.666542,   0.023775,   0.005942,   0.029716,   0.000000,  -0.000000,  -0.218796,   0.000000,   0.000000,   25.0000,    0.5915
    8.000,     0.000,   0.707749,   0.026849,   0.006241,   0.033090,   0.000000,  -0.000000,  -0.229541,  -0.000000,  -0.000000,   25.0000,    0.5836
    8.500,     0.000,   0.747431,   0.029972,   0.006574,   0.036546,   0.000000,  -0.000000,  -0.239487,   0.000000,   0.000000,   25.0000,    0.5758
    9.000,     0.000,   0.785962,   0.033192,   0.006906,   0.040098,   0.000000,  -0.000000,  -0.248837,   0.000000,   0.000000,   25.0000,    0.5682
    9.500,     0.000,   0.824382,   0.036572,   0.007258,   0.043830,   0.000000,  -0.000000,  -0.258157,   0.000000,   0.000000,   25.0000,    0.5612
   10.000,     0.000,   0.861903,   0.040037,   0.007614,   0.047652,   0.000000,  -0.000000,  -0.266993,   0.000000,   0.000000,   25.0000,    0.5542
   10.500,     0.000,   0.899879,   0.043711,   0.007974,   0.051684,   0.000000,  -0.000000,  -0.276098,   0.000000,   0.000000,   25.0000,    0.5481
   11.000,     0.000,   0.937239,   0.047482,   0.008326,   0.055808,   0.000000,  -0.000000,  -0.284867,   0.000000,   0.000000,   25.0000,    0.5420
   11.500,     0.000,   0.974758,   0.051424,   0.008696,   0.060120,   0.000000,  -0.000000,  -0.293753,  -0.000000,  -0.000000,   25.0000,    0.5365
   12.000,     0.000,   1.012202,   0.055521,   0.009071,   0.064592,   0.000000,  -0.000000,  -0.302622,   0.000000,   0.000000,   25.0000,    0.5313
   12.500,     0.000,   1.049051,   0.059704,   0.009460,   0.069164,   0.000000,  -0.000000,  -0.311191,   0.000000,   0.000000,   25.0000,    0.5261
   13.000,     0.000,   1.085897,   0.064054,   0.009845,   0.073900,   0.000000,   0.000000,  -0.319797,   0.000000,   0.000000,   25.0000,    0.5213
   13.500,     0.000,   1.122604,   0.068525,   0.010248,   0.078773,   0.000000,  -0.000000,  -0.328348,   0.000000,   0.000000,   25.0000,    0.5167
   14.000,     0.000,   1.158794,   0.073104,   0.010689,   0.083793,   0.000000,  -0.000000,  -0.336697,   0.000000,   0.000000,   25.0000,    0.5122
   14.500,     0.000,   1.194794,   0.077814,   0.011117,   0.088932,   0.000000,  -0.000000,  -0.344974,   0.000000,   0.000000,   25.0000,    0.5079
   15.000,     0.000,   1.230112,   0.082552,   0.011571,   0.094123,   0.000000,  -0.000000,  -0.352889,   0.000000,   0.000000,   25.0000,    0.5035
   15.500,     0.000,   1.264854,   0.087377,   0.012046,   0.099422,   0.000000,  -0.000000,  -0.360594,   0.000000,   0.000000,   25.0000,    0.4991
   16.000,     0.000,   1.298515,   0.092210,   0.012581,   0.104791,   0.000000,  -0.000000,  -0.367845,   0.000000,   0.000000,   25.0000,    0.4947
   16.500,     0.000,   1.331061,   0.097026,   0.013139,   0.110165,   0.000000,  -0.000000,  -0.374591,   0.000000,   0.000000,   25.0000,    0.4902
   17.000,     0.000,   1.362493,   0.101857,   0.013705,   0.115562,   0.000000,  -0.000000,  -0.380903,   0.000000,   0.000000,   25.0000,    0.4857
   17.500,     0.000,   1.392760,   0.106644,   0.014317,   0.120961,   0.000000,  -0.000000,  -0.386755,  -0.000000,  -0.000000,   25.0000,    0.4810
   18.000,     0.000,   1.421677,   0.111348,   0.015010,   0.126358,   0.000000,  -0.000000,  -0.392097,   0.000000,  -0.000000,   25.0000,    0.4764


